feature,importance_mean,importance_std
TC_wet_mean_2020_autumn,0.04586426579516423,0.0009784657637737638
NDTI_q25_2020_spring,0.033386149763708683,0.00152834273319522
TC_bright_mean_2021_spring,0.03244355223813641,0.0009499700078901949
NDTI_q25_2021_spring,0.03146534978771246,0.0020155590465594634
B05_q75_2021_spring,0.030245444978598452,1.7960588068347298e-05
TC_wet_mean_2021_summer,0.03015066596682377,0.0003100324610131638
CRI1_q25_2021_summer,0.02374266795797823,0.0019456186342663938
B06_min_2020_spring,0.019997293186996574,0.0001747487799008897
TC_wet_mean_2021_autumn,0.01778608717549938,0.0005789819282876497
CRI1_std_2021_summer,0.015882264081756598,0.000681719585270295
NDRE2_q25_2021_spring,0.014376960807815661,0.0016246493455980013
CRI1_std_2020_autumn,0.013011622464084716,0.0007740694353990174
CRI1_q75_2020_autumn,0.012154904920424295,0.0003701717861462438
NDRE2_q25_2021_summer,0.01142498281080817,0.00039519629027654033
TC_wet_mean_2020_spring,0.010217692435038487,0.00048770420776580645
B07_median_2021_autumn,0.00950029976144843,0.0003374026356839871
TC_bright_mean_2020_spring,0.009279736635279442,0.0008875012015235906
TC_wet_mean_2021_spring,0.007628647100628568,0.00035948110507250173
B05_max_2021_autumn,0.0071615513108170825,0.000549322095892252
B05_mean_2021_spring,0.007120478966227657,9.903861934198752e-05
CRI1_q75_2021_autumn,0.006715443254189897,4.546358154703378e-05
IRECI_q75_2020_autumn,0.0059495401576784195,8.782730820330554e-05
TC_green_std_2020_spring,0.005868207616524845,0.00018131184796426502
B8A_q75_2020_spring,0.005756243749203212,0.00010726324943741172
NDRE1_q75_2020_spring,0.005610637570648021,9.82584647433367e-05
NDTI_mean_2021_spring,0.004719995283996914,0.00016789372101179577
NDTI_q25_2021_autumn,0.0045278184960108785,9.95986308639018e-05
NDTI_q75_2021_spring,0.0044507251850309055,4.677451340984007e-05
NDTI_median_2021_spring,0.004209720954406341,0.00025490066740643737
TC_wet_std_2020_summer,0.004021175653642868,0.00021473042634470474
B05_q75_2020_summer,0.004017496574004335,1.3765550493093341e-05
NDVI_median_2021_spring,0.004016324217577842,0.00011396846128672868
TC_green_mean_2021_summer,0.004011007309189056,0.00014875647696720444
B05_q25_2021_spring,0.003888415389541322,3.6961938348077964e-05
B05_q75_2021_autumn,0.0038443521768951236,0.00022047079130281172
NDRE1_q25_2021_summer,0.003844019673203839,0.0008704942154192352
B06_min_2021_summer,0.0037505084788300356,0.00012779259847129167
NDRE2_std_2020_spring,0.0037143355437243195,0.00021774666433368038
TC_green_std_2021_summer,0.0036366911738814713,0.0001607780281862576
NDRE1_q75_2021_spring,0.0033389720657408897,5.4525926337161916e-05
NDRE2_median_2020_spring,0.003252378622994693,0.00015376179439035702
B06_min_2020_summer,0.003233681998508301,0.0002563045316207541
SAVI_q25_2021_summer,0.003205780888876908,3.4699928966548665e-05
TC_wet_std_2020_spring,0.002971525033861185,0.00025634376940569846
CRI1_q25_2020_summer,0.002835973022848585,0.0003264852931570757
B05_mean_2021_summer,0.0027000243298133477,3.293505209316715e-05
NDTI_median_2020_spring,0.002603020343600234,7.9723017563545e-05
TC_wet_mean_2020_summer,0.002580089563909538,0.00017431375304200876
