feature,gain_importance,gain_normalized,split_importance,split_normalized
CRI1_q75_2021_autumn,3380.374943924235,0.24255465211926092,51.166666666666664,0.003968253968253968
NDRE2_q25_2021_summer,2243.431286388921,0.16097465643613731,55.166666666666664,0.004278475776847112
CRI1_q75_2020_autumn,1417.4680790514706,0.10170868099186586,60.833333333333336,0.004717956672354067
TC_wet_mean_2020_autumn,649.3703384388541,0.04659477103855058,103.66666666666667,0.008039915206038984
B06_median_2021_summer,273.68058554272284,0.01963761426448397,21.833333333333332,0.0016932940385709114
CRI1_std_2020_autumn,260.6287968696852,0.01870109919925051,92.66666666666667,0.007186805232407839
CRI1_q25_2021_summer,250.4609200102568,0.017971515684006765,53.333333333333336,0.004136290781241922
TC_wet_mean_2021_autumn,213.53497583184677,0.015321939914174576,78.66666666666667,0.006101028902331834
IRECI_q75_2020_autumn,204.02062261139315,0.014639249184947994,19.5,0.0015123313168915774
B06_q75_2021_spring,175.44203970862569,0.012588628070712928,22.5,0.0017449976733364355
CRI1_q75_2021_summer,168.45312986265094,0.012087147428918987,32.333333333333336,0.002507626286127915
B05_q75_2021_summer,167.12595642925226,0.011991917729320564,33.333333333333336,0.002585181738276201
B06_mean_2021_summer,159.91010133185532,0.011474152909758778,16.0,0.0012408872343725764
CRI1_std_2021_summer,157.4192504171715,0.01129542496179017,86.0,0.006669768884752598
B05_q25_2021_autumn,132.97968533609733,0.009541793987557376,35.666666666666664,0.0027661444599555345
NDTI_q25_2021_spring,128.2955328740342,0.009205688381002872,69.83333333333333,0.00541595574168864
NDTI_q25_2020_spring,115.8422557299006,0.008312118775397675,61.5,0.00476966030711959
TC_green_std_2021_summer,113.04979675707,0.0081117493116701,71.0,0.005506437102528307
TC_wet_mean_2021_summer,95.06024958329006,0.006820931450071068,78.5,0.006088102993640453
NDTI_mean_2021_spring,88.9558934581255,0.006382920874051204,49.833333333333336,0.0038648466987229206
TC_wet_mean_2020_summer,88.53888080897075,0.006352998643611394,56.333333333333336,0.004368957137686779
B05_min_2020_autumn,83.92293190483178,0.006021786899583982,44.166666666666664,0.003425365803215966
SAVI_q75_2020_autumn,80.52662433550843,0.005778089021498626,17.666666666666668,0.0013701463212863864
NDTI_q25_2021_summer,73.99230531312908,0.005309226985895686,30.0,0.002326663564448581
NDTI_q75_2021_spring,70.10199217054469,0.005030082344668664,41.666666666666664,0.0032314771728452507
B8A_q75_2020_spring,68.43892741281827,0.0049107511756552496,26.333333333333332,0.0020422935732381984
B05_q75_2021_autumn,68.11823309210861,0.004887740148568989,48.166666666666664,0.00373558761180911
B06_min_2020_spring,66.48584184273993,0.004770609919472717,47.833333333333336,0.0037097357944263485
CRI1_median_2021_autumn,61.76478483022311,0.004431856272228821,24.333333333333332,0.0018871826689416265
TC_bright_mean_2020_spring,52.39934339086964,0.0037598505249525787,47.166666666666664,0.003658032159660824
NDTI_mean_2020_autumn,48.59542634161395,0.0034869051292854233,18.833333333333332,0.0014606276821260533
B8A_min_2020_summer,47.65829767481531,0.00341966261283769,42.5,0.003296106716302156
TC_wet_mean_2021_spring,45.36427285839621,0.0032550576797962865,93.5,0.007251434775864743
TC_green_mean_2021_summer,45.142123406777195,0.0032391176187528264,50.0,0.0038777726074143014
NDVI_q75_2020_summer,42.55651780029044,0.0030535906642573723,17.833333333333332,0.0013830722299777672
NDVI_q25_2020_spring,42.53246796590414,0.003051864997930452,26.166666666666668,0.0020293676645468176
B05_mean_2021_summer,42.32333725591525,0.0030368590807022516,19.333333333333332,0.0014994054082001964
TC_wet_mean_2020_spring,40.91633840979648,0.0029359016066605233,95.0,0.007367767954087172
B06_q25_2021_summer,39.55048871726573,0.002837896739592611,22.833333333333332,0.0017708494907191974
SAVI_q75_2021_autumn,39.004127908084534,0.0027986932908033776,24.166666666666668,0.0018742567602502457
NDTI_q25_2020_summer,38.08320084368703,0.0027326133004361448,34.833333333333336,0.00270151491649863
TC_wet_std_2020_autumn,36.447353737087724,0.0026152351005489824,71.33333333333333,0.005532288919911069
NDRE2_std_2020_spring,35.62273768120887,0.002556065788302969,126.0,0.009771986970684038
NDTI_median_2021_spring,33.276227565464374,0.0023876948370741076,35.333333333333336,0.002740292642572773
B05_q25_2021_summer,32.54282550078036,0.0023350704727317104,35.5,0.0027532185512641537
NDRE2_q25_2021_autumn,31.882213839354034,0.00228766909436947,45.5,0.003528773072747014
B8A_min_2021_summer,31.707754068391903,0.00227515094778618,40.666666666666664,0.003153921720696965
B05_q25_2020_autumn,31.546560092266798,0.0022635846720175643,27.166666666666668,0.002106923116695104
NDRE2_std_2020_autumn,31.34851446714947,0.002249374151438948,76.66666666666667,0.005945917998035262
TC_wet_std_2020_summer,31.06887407415964,0.0022293088985112946,76.0,0.005894214363269738
B05_q25_2021_spring,30.26186935176641,0.002171403265868232,53.333333333333336,0.004136290781241922
NDRE2_median_2021_autumn,28.776473193886584,0.0020648204890134337,35.333333333333336,0.002740292642572773
CRI1_std_2020_summer,27.26726745392231,0.001956529284840542,68.5,0.005312548472157593
NDRE2_std_2021_summer,27.121192487495744,0.0019460478550427584,73.0,0.00566154800682488
CRI1_q25_2021_autumn,26.970066817011382,0.0019352040181788896,27.333333333333332,0.0021198490253864846
SAVI_mean_2020_autumn,26.213664023600966,0.001880929264797623,10.0,0.0007755545214828603
TC_bright_mean_2020_autumn,26.146113911846744,0.0018760822894978528,28.333333333333332,0.0021974044775347704
CRI1_q25_2020_summer,24.271246287771646,0.0017415534659587463,35.0,0.0027144408251900108
IRECI_mean_2020_autumn,24.25484999567804,0.0017403769701584925,15.833333333333334,0.0012279613256811954
B06_min_2020_summer,24.007661876109825,0.0017226402902503519,45.5,0.003528773072747014
CRI1_median_2020_summer,22.647561924696976,0.0016250479887941732,26.666666666666668,0.002068145390620961
NDTI_mean_2020_summer,21.908233959493373,0.0015719984187385443,21.0,0.0016286644951140066
B8A_q25_2021_autumn,21.872766887054848,0.0015694535225185327,14.5,0.0011245540561501473
B05_median_2021_summer,21.653574604673242,0.001553725649521528,33.333333333333336,0.002585181738276201
NDTI_median_2021_summer,21.445016648022527,0.001538760829505618,31.333333333333332,0.0024300708339796287
NDVI_q75_2021_autumn,21.4168310831883,0.0015367384089201622,25.5,0.001977664029781294
NDVI_q25_2020_summer,21.227552994321133,0.001523156992136355,13.333333333333334,0.0010340726953104804
SAVI_median_2021_autumn,20.618663670030703,0.001479466886546782,21.333333333333332,0.0016545163124967685
B07_median_2021_autumn,20.364809114230713,0.0014612518646949526,17.0,0.0013184426865208625
NDRE1_q75_2020_summer,20.049447652024657,0.001438623490320478,20.666666666666668,0.0016028126777312445
NDRE2_q75_2021_summer,20.044506204768066,0.0014382689228419673,42.166666666666664,0.003270254898919394
NDRE1_q75_2021_spring,20.02878812463253,0.0014371410913077436,36.333333333333336,0.002817848094721059
TC_green_mean_2021_spring,19.624329514076027,0.001408119660487917,39.666666666666664,0.0030763662685486786
NDTI_q25_2021_autumn,19.308817760183654,0.0013854805021180881,33.166666666666664,0.0025722558295848195
SAVI_q25_2021_summer,18.186057922240554,0.0013049182489883742,25.5,0.001977664029781294
CRI1_q75_2020_summer,17.81943454105931,0.0012786116385808404,38.666666666666664,0.002998810816400393
NDRE1_q25_2020_spring,17.278404581211362,0.0012397906983378406,28.0,0.002171552660152009
B05_q25_2020_spring,16.734583888853496,0.001200769512511339,44.166666666666664,0.003425365803215966
NDRE2_median_2020_spring,16.610547464844558,0.0011918694312556546,49.5,0.003838994881340158
NDRE2_q25_2020_spring,16.50109034107921,0.0011840154697817659,50.5,0.003916550333488444
NDRE2_q25_2021_spring,16.4501028581282,0.0011803569255685428,54.166666666666664,0.004200920324698826
CRI1_std_2021_autumn,16.442203308447763,0.00117979010308393,56.5,0.0043818830463781605
IRECI_mean_2021_summer,16.396078698266745,0.0011764804883334418,10.333333333333334,0.0008014063388656223
B05_min_2021_autumn,15.26247198518225,0.0010951399310007487,50.833333333333336,0.003942402150871206
NDRE2_std_2020_summer,15.179665257338684,0.001089198235952591,75.0,0.0058166589111214514
NDRE1_q75_2021_summer,15.014005830906777,0.0010773115472819488,25.5,0.001977664029781294
NDTI_q25_2020_autumn,14.966280623265448,0.0010738870836266466,32.0,0.002481774468745153
NDVI_median_2020_spring,14.826475508306126,0.0010638555393198824,20.166666666666668,0.0015640349516571016
SAVI_median_2021_spring,14.470056656261173,0.0010382811423667,16.833333333333332,0.0013055167778294812
B05_min_2021_spring,14.217535981896313,0.0010201618315388943,69.66666666666667,0.00540302983299726
NDVI_q25_2021_spring,14.194707477426467,0.0010185238002400176,24.333333333333332,0.0018871826689416265
B05_median_2020_summer,13.888734240263148,0.0009965690664222957,19.166666666666668,0.0014864794995088156
B05_min_2020_spring,13.401275212023696,0.0009615920425777885,66.33333333333333,0.005144511659169639
NDVI_median_2020_autumn,13.218301893313159,0.000948463016832668,18.166666666666668,0.0014089240473605295
SAVI_q75_2021_spring,13.050306129367527,0.0009364086871333602,16.0,0.0012408872343725764
NDRE1_q25_2020_summer,12.967793081529331,0.0009304880647332723,19.0,0.0014735535908174345
SAVI_q75_2020_spring,12.817612387133218,0.0009197120334679386,16.333333333333332,0.0012667390517553383
CRI1_std_2020_spring,12.555995943400072,0.0009009400668810884,60.5,0.004692104854971305
NDRE1_q25_2021_summer,11.834075744735552,0.0008491395697321943,20.166666666666668,0.0015640349516571016
B05_min_2021_summer,11.801727320984051,0.0008468184483182061,51.333333333333336,0.003981179876945349
B8A_min_2020_spring,11.686668121615034,0.0008385625167901861,41.0,0.003179773538079727
NDRE1_q25_2020_autumn,11.567120940687346,0.0008299845556578356,16.0,0.0012408872343725764
IRECI_median_2021_autumn,11.309229606857116,0.0008114798797566626,15.5,0.0012021095082984333
IRECI_q75_2021_summer,11.163867289488431,0.0008010495852167085,19.833333333333332,0.0015381831342743393
B05_median_2021_autumn,10.805699314283174,0.000775349682079538,29.333333333333332,0.0022749599296830567
NDRE1_q75_2020_autumn,10.66039890952076,0.0007649238300026018,21.166666666666668,0.0016415904038053876
TC_bright_mean_2021_autumn,10.51840202641506,0.0007547350180645572,38.666666666666664,0.002998810816400393
B8A_std_2020_spring,10.501888201969754,0.0007535500888747674,36.833333333333336,0.002856625820795202
NDVI_q75_2020_spring,10.496326724696095,0.0007531510319039405,30.333333333333332,0.0023525153818313425
NDRE1_median_2020_autumn,10.383396114078474,0.0007450478346473149,16.166666666666668,0.0012538131430639575
NDTI_mean_2021_autumn,10.314860183909332,0.0007401301231580243,20.833333333333332,0.0016157385864226253
NDTI_median_2020_summer,10.314672887811563,0.0007401166839565773,23.666666666666668,0.0018354790341761026
NDRE1_mean_2020_summer,9.780227248028192,0.000701768193512549,12.5,0.0009694431518535753
NDVI_median_2021_autumn,9.637802383348268,0.0006915486722823188,17.5,0.0013572204125950054
B8A_q25_2020_summer,9.458102177715167,0.0006786545047458335,27.5,0.002132774934077866
CRI1_median_2021_summer,9.42603049864374,0.0006763532408064494,28.5,0.0022103303862261517
B05_q75_2020_spring,9.3517581672016,0.0006710239208896116,51.166666666666664,0.003968253968253968
NDVI_std_2020_summer,9.0547138844989,0.0006497098732321267,31.833333333333332,0.0024688485600537716
TC_green_std_2020_summer,8.895539158673879,0.000638288486288628,49.666666666666664,0.003851920790031539
NDRE2_median_2021_spring,8.84302379705999,0.0006345203110185832,43.166666666666664,0.00334781035106768
NDTI_mean_2020_spring,8.73160206454971,0.0006265253814572541,27.666666666666668,0.0021457008427692467
NDVI_q75_2021_summer,8.653203859472342,0.0006209000145453693,22.166666666666668,0.0017191458559536737
B05_median_2020_spring,8.632258800877025,0.0006193971275918568,34.333333333333336,0.002662737190424487
SAVI_q75_2021_summer,8.274918151488237,0.0005937565882024751,19.333333333333332,0.0014994054082001964
IRECI_median_2020_autumn,8.248451530521075,0.0005918575083228894,14.0,0.0010857763300760044
B06_max_2021_summer,8.248226092217616,0.0005918413322743216,31.5,0.0024429967426710096
IRECI_mean_2021_autumn,8.19692673800455,0.0005881604101217487,11.5,0.0008918876997052893
NDVI_median_2021_spring,7.87043396941893,0.0005647333225301558,18.333333333333332,0.0014218499560519104
B05_median_2020_autumn,7.837720805813054,0.0005623860296559125,29.5,0.002287885838374438
SAVI_median_2020_autumn,7.741070558709907,0.0005554510098867358,18.5,0.0014347758647432914
NDRE1_q75_2021_autumn,7.625590525459605,0.000547164881940458,24.833333333333332,0.0019259603950157694
IRECI_std_2021_autumn,7.4312722193223335,0.0005332218105571357,35.833333333333336,0.002779070368646916
NDVI_std_2021_summer,7.392971886464996,0.0005304736172157548,51.833333333333336,0.004019957603019492
SAVI_q25_2020_autumn,7.334100392989058,0.0005262493655109363,23.166666666666668,0.0017967013081019597
B05_q75_2020_autumn,7.255538322849437,0.0005206122406627787,30.0,0.002326663564448581
NDTI_mean_2021_summer,7.222631646081936,0.0005182510624893077,24.166666666666668,0.0018742567602502457
NDTI_q75_2020_spring,7.190593879294245,0.0005159522318841899,47.833333333333336,0.0037097357944263485
NDRE2_q75_2020_autumn,7.156054256366285,0.0005134738836646589,34.0,0.002636885373041725
B8A_min_2021_spring,7.092772227868863,0.0005089331594366612,26.666666666666668,0.002068145390620961
NDVI_std_2021_spring,7.005213458381756,0.0005026504874771178,58.666666666666664,0.004549919859366113
NDRE1_median_2020_summer,6.772754333197857,0.00048597066846997746,13.666666666666666,0.0010599245126932423
NDRE2_q75_2021_spring,6.5546815914288645,0.00047032312673454303,37.0,0.002869551729486583
NDTI_q75_2021_summer,6.432917653378657,0.00046158610491762195,27.0,0.0020939972080037225
B06_q75_2021_summer,6.413166360151081,0.0004601688751318164,20.666666666666668,0.0016028126777312445
B05_max_2021_autumn,6.38348210104444,0.0004580389175796311,47.833333333333336,0.0037097357944263485
NDTI_median_2020_spring,6.305731028597923,0.0004524599848748255,29.666666666666668,0.0023008117470658188
IRECI_std_2021_summer,6.275638548569987,0.0004503007359318344,42.166666666666664,0.003270254898919394
NDRE2_q75_2021_autumn,6.26368916774057,0.00044944332278737566,26.666666666666668,0.002068145390620961
NDRE2_q75_2020_spring,6.258353931607417,0.00044906049947170264,65.83333333333333,0.005105733933095496
B06_q25_2020_spring,6.161281804423197,0.00044209520821548727,23.5,0.0018225531254847215
NDVI_std_2020_autumn,6.130661656551335,0.000439898097114469,34.333333333333336,0.002662737190424487
IRECI_q25_2021_summer,6.111243309400227,0.0004385047574654358,14.333333333333334,0.0011116281474587665
CRI1_q75_2020_spring,6.058688143794825,0.0004347337261088698,45.333333333333336,0.003515847164055633
NDRE1_mean_2021_summer,6.034535115832114,0.0004330006552536228,11.5,0.0008918876997052893
B8A_median_2020_spring,5.963519493813995,0.00042790501652141717,19.5,0.0015123313168915774
B05_max_2021_summer,5.9568782162365705,0.00042742847980606997,52.0,0.0040328835117108735
NDRE1_q25_2021_autumn,5.890997925744159,0.0004227013204799651,21.333333333333332,0.0016545163124967685
CRI1_q25_2020_spring,5.873197629065847,0.0004214240820552194,37.166666666666664,0.0028824776381779636
B07_q25_2021_autumn,5.794046243206442,0.0004157446715814221,15.833333333333334,0.0012279613256811954
NDRE1_median_2021_autumn,5.716213072599203,0.0004101598480239318,19.666666666666668,0.0015252572255829585
NDTI_q75_2021_autumn,5.694328270067369,0.00040858953089850506,26.833333333333332,0.0020810712993123417
NDVI_median_2021_summer,5.6508233576726825,0.00040546788934500266,13.5,0.0010469986040018613
CRI1_median_2020_spring,5.621219488698746,0.00040334370008804956,29.0,0.0022491081123002946
B05_mean_2020_spring,5.619771477009635,0.0004032397997878334,25.666666666666668,0.0019905899384726746
SAVI_std_2020_spring,5.503824760213926,0.0003949201855369641,41.333333333333336,0.003205625355462489
CRI1_mean_2021_summer,5.476184394967277,0.00039293688507826776,22.833333333333332,0.0017708494907191974
NDRE1_std_2021_summer,5.410518277231556,0.00038822509345525923,42.333333333333336,0.0032831808076107753
CRI1_median_2020_autumn,5.388679250455425,0.0003866580609129584,31.166666666666668,0.002417144925288248
NDTI_median_2021_autumn,5.366680918806196,0.0003850795976451564,19.333333333333332,0.0014994054082001964
IRECI_q75_2020_summer,5.355394967090736,0.00038426978804190556,17.5,0.0013572204125950054
B06_q75_2021_autumn,5.26747535365818,0.00037796122416826697,22.0,0.0017062199472622926
B07_q75_2021_autumn,5.25731976846085,0.00037723252262613976,20.5,0.0015898867690398635
NDRE2_std_2021_autumn,5.211948746313586,0.0003739769806594106,71.33333333333333,0.005532288919911069
B05_std_2021_summer,5.204509138233409,0.0003734431607193965,44.833333333333336,0.0034770694379814902
B06_max_2021_autumn,5.181185140259231,0.00037176957589271165,37.5,0.0029083294555607257
B06_q75_2020_spring,5.166943630995017,0.0003707476938877455,27.833333333333332,0.0021586267514606275
IRECI_std_2020_autumn,5.15928814503665,0.0003701983838957362,36.333333333333336,0.002817848094721059
NDVI_q25_2020_autumn,5.12068003686242,0.00036742810651452,17.5,0.0013572204125950054
B07_min_2020_spring,5.05928762931823,0.00036302296971707406,35.333333333333336,0.002740292642572773
NDRE1_median_2020_spring,4.979251730432225,0.0003572800920974657,18.333333333333332,0.0014218499560519104
NDVI_std_2020_spring,4.871388667214887,0.00034954051048027764,50.5,0.003916550333488444
B06_std_2021_summer,4.842272543045207,0.00034745131875267614,37.333333333333336,0.002895403546869345
NDRE1_q25_2021_spring,4.777258903726761,0.00034278634491708543,26.666666666666668,0.002068145390620961
NDTI_std_2021_summer,4.759696014822566,0.0003415261413955729,60.5,0.004692104854971305
NDRE2_std_2021_spring,4.741615118924831,0.00034022876891848654,93.33333333333333,0.007238508867173362
NDTI_q75_2020_summer,4.713489219959759,0.00033821062958418684,27.833333333333332,0.0021586267514606275
B05_median_2021_spring,4.631308161735585,0.0003323138286910833,47.0,0.003645106250969443
IRECI_std_2020_summer,4.594008047987093,0.0003296374048433277,44.666666666666664,0.003464143529290109
NDRE2_median_2021_summer,4.443299780671775,0.00031882351823117356,33.0,0.0025593299208934387
IRECI_q25_2020_autumn,4.372516657815747,0.00031374456219077415,15.333333333333334,0.0011891835996070525
IRECI_q75_2021_autumn,4.360086735687825,0.0003128526683956712,21.333333333333332,0.0016545163124967685
TC_wet_std_2020_spring,4.353088943372616,0.00031235055040320736,84.33333333333333,0.006540509797838788
B07_mean_2021_autumn,4.291720971465111,0.0003079471669548584,11.166666666666666,0.0008660358823225272
NDRE1_std_2021_autumn,4.269095336713993,0.0003063236923234721,38.333333333333336,0.002972958999017631
TC_wet_std_2021_autumn,4.212932455686011,0.00030229379377797426,52.333333333333336,0.004058735329093635
NDVI_q75_2020_autumn,4.203063223009697,0.00030158563910927694,20.166666666666668,0.0015640349516571016
SAVI_q25_2021_autumn,4.164832780787644,0.00029884246068458695,18.666666666666668,0.0014477017734346724
NDRE1_std_2020_spring,4.12843382261902,0.00029623069814861073,50.0,0.0038777726074143014
TC_green_std_2020_autumn,4.085271182234578,0.0002931336159028042,41.0,0.003179773538079727
NDVI_q25_2021_summer,4.0835925914701265,0.00029301317068424816,21.166666666666668,0.0016415904038053876
B05_q25_2020_summer,4.032567861295358,0.00028935195384223336,26.333333333333332,0.0020422935732381984
IRECI_q25_2021_autumn,3.95671214986578,0.00028390902043920057,17.833333333333332,0.0013830722299777672
B06_std_2021_spring,3.9525027586644987,0.00028360698074378284,45.0,0.003489995346672871
B05_min_2020_summer,3.936721403102638,0.0002824746089590619,34.166666666666664,0.0026498112817331058
B07_q75_2020_autumn,3.922685426077654,0.00028146747466747447,14.0,0.0010857763300760044
B8A_q25_2020_spring,3.906490332368776,0.00028030541561019264,27.333333333333332,0.0021198490253864846
B05_mean_2021_autumn,3.876799366732788,0.0002781749768392314,22.5,0.0017449976733364355
SAVI_mean_2021_spring,3.8327664672963238,0.0002750154502240521,17.5,0.0013572204125950054
NDTI_std_2021_spring,3.7585194278693357,0.0002696879451046964,65.0,0.005041104389638592
B06_median_2021_autumn,3.739719170411869,0.0002683389557224551,18.833333333333332,0.0014606276821260533
IRECI_median_2021_summer,3.736078833770686,0.00026807774783804976,14.833333333333334,0.0011504058735329094
B05_q75_2021_spring,3.6864077566169726,0.0002645136607059219,67.0,0.005196215293935163
NDRE2_mean_2020_spring,3.637028335679588,0.0002609705010073668,34.333333333333336,0.002662737190424487
NDRE1_q75_2020_spring,3.619533211768612,0.0002597151598797095,32.666666666666664,0.0025334781035106766
B06_min_2021_summer,3.6098820822967355,0.000259022654938559,56.333333333333336,0.004368957137686779
B06_max_2021_spring,3.6093256813137486,0.0002589827310694303,34.166666666666664,0.0026498112817331058
B05_max_2020_spring,3.596707382169067,0.0002580773205128658,43.833333333333336,0.0033995139858332044
NDRE1_mean_2021_spring,3.5632469973115803,0.0002556764116954958,24.5,0.0019001085776330076
B07_mean_2020_autumn,3.5290979636192787,0.00025322608972682407,10.0,0.0007755545214828603
B05_std_2021_autumn,3.519389182417399,0.00025252944805659853,45.5,0.003528773072747014
B05_std_2020_autumn,3.4978485186590356,0.00025098382418617,38.833333333333336,0.003011736725091774
B05_max_2020_summer,3.4969117509369503,0.00025091660756886686,36.333333333333336,0.002817848094721059
B07_std_2020_spring,3.479587890574294,0.00024967355524676296,31.5,0.0024429967426710096
B8A_min_2020_autumn,3.4627199119489283,0.00024846321415877674,27.0,0.0020939972080037225
B06_max_2020_spring,3.458985958640369,0.0002481952889253895,27.666666666666668,0.0021457008427692467
B8A_median_2021_summer,3.440434873496997,0.0002468641785964975,14.333333333333334,0.0011116281474587665
NDVI_median_2020_summer,3.4228949875194608,0.0002456056256217337,14.0,0.0010857763300760044
SAVI_mean_2021_summer,3.4121809924108675,0.00024483685606229675,13.166666666666666,0.0010211467866190992
B06_min_2020_autumn,3.372669256497223,0.00024200173998252945,31.666666666666668,0.002455922651362391
B8A_q25_2021_summer,3.3155307811551515,0.00023790183886530835,25.0,0.0019388863037071507
NDRE1_std_2021_spring,3.2462294390188617,0.0002329292061804406,44.833333333333336,0.0034770694379814902
TC_green_std_2021_autumn,3.2386499415523153,0.00023238534864932818,44.166666666666664,0.003425365803215966
CRI1_mean_2020_autumn,3.198202099662543,0.00022948306343502606,31.5,0.0024429967426710096
NDVI_mean_2021_summer,3.180315485671978,0.00022819963141755984,11.833333333333334,0.0009177395170880513
SAVI_q25_2021_spring,3.1772452661489297,0.00022797933158671377,21.0,0.0016286644951140066
NDTI_std_2020_autumn,3.1640898947404517,0.00022703538406952542,48.833333333333336,0.0037872912465746343
TC_green_mean_2021_autumn,3.1335033152439187,0.0002248406816260482,37.833333333333336,0.0029341812729434882
IRECI_q25_2020_summer,3.0901435288845582,0.00022172945341295802,20.333333333333332,0.0015769608603484824
TC_green_mean_2020_spring,3.0656214812806866,0.00021996990400661195,33.166666666666664,0.0025722558295848195
CRI1_q25_2020_autumn,3.055173445862541,0.00021922021805809524,31.833333333333332,0.0024688485600537716
