feature,mean_abs_shap,shap_tree_cover,shap_grassland,shap_cropland,shap_built_up,shap_bare_sparse,shap_water
NDRE2_q25_2020_spring,0.002487646744534497,0.001742926168840298,0.005652784323360251,0.001345653707494655,0.006106708020599281,2.6346655270052843e-05,5.146159164244415e-05
TC_wet_std_2020_spring,0.0024224908403351272,0.0057176019492761404,0.006632739962855233,0.0006413239294779195,0.0012152400257232113,0.00011576331662154007,0.0002122758580567189
NDVI_q75_2020_autumn,0.00235229364358742,0.002210543100403489,0.004404769280232636,0.0013470083902796346,0.005995743327884119,6.081564020505448e-05,9.488212251958683e-05
NDRE2_mean_2020_spring,0.002331844464467957,0.0034732080747178506,0.00631930150733878,0.0007551173533223454,0.0032841785501773815,6.300160363870147e-05,9.625969761268427e-05
NDRE2_median_2020_spring,0.002231714588251776,0.0017397418416680549,0.004874172708426059,0.0008634355663461595,0.005776367893590588,5.4907621110936e-05,8.166189836885678e-05
B02_min_2021_autumn,0.002180317737065129,0.004082732766668021,0.002968683360177308,0.0026576444699208824,0.003178691700693184,0.00015062488492322823,4.352924000815018e-05
B02_min_2020_autumn,0.002134605171491673,0.0059895383420935575,0.003379713037209502,0.0017312840678102908,0.0015984744291814737,5.561377150943191e-05,5.300738114578167e-05
NDRE2_q75_2020_autumn,0.0020974303233450647,0.004175130549540139,0.0033499888722481157,0.002920361346356459,0.002020291097182013,5.268573176134585e-05,6.612434298231276e-05
B08_max_2021_autumn,0.0020832583173300153,0.005805018590906699,0.0035122056877754395,0.0022111603960789884,0.0009111932218764414,2.9421514862117887e-05,3.055049248040202e-05
B03_q25_2021_autumn,0.0020663191592130894,0.0051766741549463926,0.0048544201927690055,0.0010567753981490726,0.0011055249909899356,0.00012672233491999613,7.779788350413282e-05
B02_min_2021_summer,0.0020446406320112653,0.005988053724117379,0.002023555169031045,0.0011464563057631636,0.002992168658835055,7.276631791897592e-05,4.4843616401974063e-05
NDRE2_std_2020_autumn,0.002040359730543851,0.0017851482599565485,0.0019388994839644137,0.0030759317929009516,0.005284215685377303,4.176647048059789e-05,0.00011619669058329207
NDVI_range_2020_spring,0.00201792080705783,0.004549017603167059,0.002142003403392157,0.0013579145168490041,0.003880397496444235,7.258905443968797e-05,0.0001056027680548376
B03_min_2021_summer,0.0019619416041817884,0.005052906015309902,0.0033461677724555047,0.002061252803328039,0.0011156256622657425,9.912501613754876e-05,9.657235559399274e-05
NDRE2_q25_2021_autumn,0.0018976341524646948,0.0032347582749979987,0.005217718257884031,0.0004928017020270708,0.0023519970500846276,3.299767496544371e-05,5.55319548289957e-05
B12_q25_2021_spring,0.001878784708842335,0.0028846046476912017,0.0021907981160347928,0.003158573295817435,0.0028381213069682866,0.00014433720653105644,5.6273680011236734e-05
NDRE1_median_2021_autumn,0.0018739917019573798,0.005500442956206245,0.001238463758467938,0.0005267066909865472,0.003914897666916652,2.3602581040674767e-05,3.9836558126221776e-05
SAVI_median_2020_autumn,0.0018703871549122888,0.0015097046531804396,0.0036978439914462846,0.00128335106824882,0.004539225618162241,5.379168437905342e-05,0.00013840591405689381
B12_min_2021_summer,0.0018273509754813955,0.002315855764728071,0.003790204982337654,0.0008389841784697277,0.003647611540926796,0.0001217575305653973,0.0002496918558607255
B8A_q25_2020_summer,0.00182056573692301,0.0021584757232962566,0.0006744256286656937,0.0031923812488459822,0.004800803366501411,2.7645006959151067e-05,6.966344726956402e-05
B05_q75_2021_autumn,0.0017923415529691705,0.004850953778027465,0.002251366735488914,0.0009025672227260285,0.002525254839253383,0.00019122359800794752,3.268314431128442e-05
B12_q25_2021_summer,0.0017869042922163466,0.0019114072568367506,0.0039489218997285375,0.0006232833630933734,0.0040072507712676335,8.57899236990876e-05,0.0001447725386726981
NDRE1_q75_2021_summer,0.0017578912838227823,0.004640489636956184,0.004043694261245189,0.0004672355941246984,0.0011914856136305961,9.434420130974416e-05,0.0001100983956702814
B02_median_2021_autumn,0.0017532308595975636,0.002817651603870056,0.0026487850933421316,0.0023758049455511222,0.002409971135802601,0.00020061767712030286,6.655470189916872e-05
B05_median_2021_summer,0.0017515866544828764,0.004568935901922727,0.0027013029597491005,0.001352468659425837,0.0016446034387280044,0.00018049507191517818,6.171389515641093e-05
B12_mean_2021_summer,0.001746961455144661,0.002283001492112502,0.002670248020994681,0.0005074985630328805,0.004825666357322128,0.00011820646742219868,7.7147829983577e-05
B11_q75_2020_summer,0.0017442626626713517,0.00423812911604996,0.002650071901629994,0.0017906412753067777,0.0016504221549988108,0.00010898931166535965,2.732221637720717e-05
NDWI_std_2020_spring,0.00174230986756052,0.004480857742786203,0.003401551290714795,0.000711772535057568,0.0015798194762590785,2.8921943815402612e-05,0.00025093621673007545
NDRE2_std_2020_spring,0.001726616883530377,0.0022702036873156646,0.0013232863607972483,0.0016796559723449224,0.0047809649106824266,3.1387940378463476e-05,0.00027420242966353644
B05_q25_2021_summer,0.0017265500196433166,0.004413070699327007,0.003457306358354638,0.0010765266012592969,0.001208435119273846,0.00013167305464320441,7.228828500190692e-05
B8A_q25_2020_spring,0.001708882240300427,0.003625818783505469,0.003141252224890359,0.0019312664623046816,0.001477995718182955,3.153393087518146e-05,4.5426322043914765e-05
