feature,importance_mean,importance_std
B02_q25_2021_autumn,0.016277968883514404,0.0013731886154771684
B02_q25_2021_summer,0.014670630296071371,0.0007184496246761983
B03_min_2021_spring,0.014357447624206543,0.0017052714541560962
B02_median_2021_summer,0.013014733791351318,0.000982492967643458
B05_min_2021_spring,0.01265096664428711,0.0009735499336324564
B02_mean_2021_summer,0.012594083944956461,0.0006387220947214775
B02_median_2021_autumn,0.011421521504720053,0.001738849429288822
B02_q75_2021_autumn,0.010383625825246176,0.0009285660294016379
B03_q25_2021_autumn,0.010145127773284912,0.0008238579975248773
B11_max_2020_autumn,0.010023355484008789,0.0008076873655052161
TC_green_mean_2021_summer,0.009837071100870768,0.0008662718737722532
B02_min_2021_autumn,0.009641428788503012,0.0006362676802387213
B02_q25_2020_spring,0.00934988260269165,0.00015443776251410172
B03_q25_2021_summer,0.008941570917765299,0.00040571594734301655
B11_max_2020_summer,0.00873267650604248,0.00024765851599680826
B11_std_2020_autumn,0.008721669514973959,0.001770927816982161
B02_q25_2021_spring,0.008331159750620524,0.0010047936802271018
TC_green_mean_2021_autumn,0.008174935976664225,0.0010064270896560736
B02_mean_2021_autumn,0.008156418800354004,0.0006796918457320465
B02_q25_2020_summer,0.007985194524129232,0.0010452831068905777
B05_q75_2021_spring,0.007684051990509033,0.001668664456276872
B02_median_2020_spring,0.007631083329518636,0.0002939188068758338
B05_q25_2021_summer,0.007527649402618408,6.33757626455643e-05
B02_q75_2021_summer,0.0074924031893412275,0.0005119070332591477
B03_median_2021_autumn,0.0071549614270528155,0.0004649912800421323
B11_min_2021_spring,0.007073660691579183,0.0003176205531450174
B05_median_2021_spring,0.006990293661753337,0.0014051235438584193
B05_mean_2021_autumn,0.006955504417419434,0.0001647292594627227
B11_q75_2020_spring,0.006643056869506836,0.0005358345603763285
B11_max_2020_spring,0.00650717814763387,0.0007136099383330068
B05_median_2021_autumn,0.00643614927927653,0.0005058407783352226
B04_median_2021_autumn,0.006381094455718994,0.00019814866484779722
B11_std_2020_summer,0.006328682104746501,0.00024707883777496157
B11_mean_2020_spring,0.006309350331624349,0.0002578634129936084
B02_q25_2020_autumn,0.006262600421905518,0.0004184466221035826
B11_q75_2021_spring,0.006157378355662028,0.00028050612178375336
B04_max_2020_autumn,0.0060248176256815595,0.00042548637333671667
B03_q25_2021_spring,0.0058156053225199384,0.001456878251747033
B11_max_2021_spring,0.00581053892771403,0.0004858182779446441
B02_q75_2021_spring,0.005747596422831218,0.0003723186099981876
B05_mean_2021_spring,0.005676289399464925,0.0007307170618962688
B04_max_2021_spring,0.005544583002726237,0.0010449987966885572
B02_max_2021_summer,0.005453368028004964,0.0010344942336683424
B11_max_2021_summer,0.00540618101755778,0.00020321789868635922
B02_mean_2020_spring,0.005391995112101237,8.045725320596712e-05
