feature,tree_cover,grassland,cropland,built_up,bare_sparse,water,abs_mean
NDVI_median_2021_autumn,0.015467246,-0.005508326,0.011345687,-0.022974264,-0.0005224293,0.0022031078,0.009670177
B12_median_2020_autumn,0.006206079,-0.010050286,0.021831911,-0.018681912,0.000117221105,0.0005879652,0.009579229
SAVI_mean_2021_summer,0.024502506,-0.011130129,0.00077245367,-0.017372949,-0.0001016053,0.0033214563,0.009533516
B02_min_2021_autumn,0.016171278,-0.007167983,-0.019813614,0.008954911,-0.0010660167,0.0029212427,0.009349175
NBR_mean_2020_autumn,0.023069888,-0.0078312615,3.321534e-05,-0.02012458,0.0008382932,0.0040084617,0.009317617
NDVI_q75_2020_spring,0.024596155,-0.012726968,-0.0072700223,-0.00794815,0.0010292478,0.0023215797,0.009315354
B04_min_2021_summer,0.0039674044,-0.011091128,0.021510422,-0.016526133,0.0023974993,-0.0002573573,0.009291657
B03_q25_2020_spring,0.022965854,-0.020061273,0.0043139206,-0.006214292,0.00041727285,-0.0014223964,0.0092325015
B12_median_2021_autumn,0.009421622,-0.01228232,0.015322322,-0.015189867,0.0014678447,0.0012567255,0.009156784
B08_q25_2021_autumn,-0.016188728,0.016913194,-0.01116476,0.0077715963,0.0009762243,0.0016891161,0.009117271
B04_q25_2021_spring,-0.0016770044,-0.018622722,0.026259523,-0.0070298,0.0004902454,0.0005810267,0.009110054
B11_mean_2020_autumn,-0.014167367,0.02662741,-0.012377815,-0.00062868034,-3.5892714e-05,0.00057562377,0.009068797
SAVI_mean_2020_summer,0.024255132,-0.017523542,-0.0020381166,-0.007520707,0.00023446423,0.0025973949,0.009028227
SAVI_std_2021_summer,-0.007484729,0.003523362,-0.014182052,0.021792287,0.0017319741,-0.00538298,0.009016231
TC_wet_mean_2020_spring,-0.009891292,-0.0074866926,0.024952397,-0.009183982,-0.0004531966,0.0020623542,0.009004986
B11_q25_2020_spring,-0.003879407,0.02298904,-0.023014063,0.0023433198,0.00017981723,0.0013788863,0.008964089
B8A_min_2020_summer,0.009723478,-0.012382912,0.017109279,-0.0133111905,-0.00057469466,-0.000567529,0.008944848
B04_q75_2020_autumn,0.022594495,-0.0111198295,-0.012205022,-0.0033996948,0.0022809703,0.0018514039,0.008908569
B12_median_2021_spring,-0.008556211,-0.010954281,0.024419744,-0.006891714,0.00036525482,0.0016178774,0.0088008465
B02_mean_2021_summer,0.0011396075,0.0044097803,-0.02333283,0.020714056,-0.001614975,-0.0013193988,0.008755107
B11_q25_2020_autumn,-0.013709155,0.02366408,-0.007752704,-0.004481933,-0.00015289045,0.0024341282,0.008699148
B04_q75_2021_autumn,0.020382373,-0.018274296,0.0025761584,-0.0078120357,0.00067586545,0.0024530306,0.008695626
NDVI_q75_2020_autumn,0.005529868,-0.0042944984,0.016109208,-0.021554772,0.00047678818,0.0037207822,0.008614319
B12_q75_2021_autumn,0.011888139,-0.013999146,0.0102924425,-0.011820475,0.0013416766,0.002288418,0.008605049
NBR_q75_2020_autumn,0.022942884,-0.010008297,-0.0032658733,-0.0124893915,6.628442e-05,0.0027562913,0.00858817
B03_q25_2021_summer,-0.018889552,0.020311788,0.004713622,-0.0064529753,-0.00038720356,0.0007203136,0.008579242
B02_std_2020_spring,-0.008106267,0.0032219272,0.021946609,-0.015910018,0.00024170084,-0.0013937043,0.008470038
TC_wet_mean_2020_summer,0.020877395,-0.018765615,0.0035867777,-0.006116996,0.0009022467,-0.00047885836,0.008454649
B8A_mean_2021_summer,0.008231634,-0.009446992,0.017105574,-0.013211407,-0.00025786707,-0.0024288564,0.008447055
B08_median_2021_spring,-0.019334134,0.022348607,-0.005991581,0.0020611198,7.167124e-06,0.0009059904,0.008441434
NDVI_median_2020_spring,0.019626653,-0.012732707,-0.0023370807,-0.01019082,0.0017007987,0.003937865,0.008420988
B08_q75_2021_spring,-0.010467873,0.015598932,-0.014782777,0.007331852,0.0014429557,0.0008767521,0.008416857
B11_median_2020_autumn,-0.009693039,0.024829907,-0.015428981,-2.2703967e-05,0.00015642267,0.00015342524,0.0083807465
B8A_q75_2021_summer,0.005751635,-0.006264452,0.019214178,-0.01772289,-0.0004114137,-0.0005644838,0.008321508
B12_min_2021_summer,-0.00058106956,0.002980012,-0.022776369,0.021468723,0.00039653195,-0.001485113,0.008281303
TC_green_mean_2020_autumn,-0.0022782865,-0.006611674,0.023184638,-0.015779415,0.00014369287,0.001350199,0.00822465
NBR_std_2021_summer,0.009908614,0.008519063,-0.017325478,0.0046980456,0.0015141913,-0.007313025,0.008213069
B04_mean_2021_autumn,0.01714901,-0.015728232,0.005711748,-0.008796701,0.0011831326,0.0004958245,0.008177442
B8A_q75_2020_summer,0.0091938395,-0.01094436,0.014786335,-0.013184736,0.00047582824,-0.00032757342,0.008152111
NBR_q75_2021_summer,0.0067612315,-0.0021520108,0.012378997,-0.022068229,-0.0001689895,0.005235683,0.008127524
NDWI_std_2021_summer,0.013847159,-0.0029353618,-0.02142701,0.0021468555,0.0015768573,0.0067867963,0.008120006
