model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,run_name,fold,stage,model_type,feature_set,n_features,elapsed_s,top10_features,mlp_winner_r2
model,0.6440749038860278,0.755503554170716,5.452384007306051,11.57501601381478,6.023378387541972,0.8426281345557881,0.7090247777325707,0.6787062676524842,0.7910420275434218,0.12051738937583534,0.7225308264562166,6.620090405939664,7.651722443355158,9.076454175751952,8.83681669063676,0.09891955643930032,0.4303007717135322,100.0,100.0,100.0,1.0,1.3098909312391739e-16,extratrees_500_third_v5_glcm_lbp,3,v8,extratrees,v5_glcm_lbp,924,109.2,NDVI_q25_2021_autumn; NBR_q25_2021_summer; NDWI_q75_2021_summer; NBR_q25_2021_autumn; NDVI_q25_2021_summer; NDVI_mean_2021_autumn; NBR_mean_2021_summer; NBR_mean_2021_autumn; BSI_q75_2021_summer; NDVI_q25_2020_autumn,0.7871481657028199
model,0.6498637714675786,0.7472300372394671,5.533755182962349,11.748095145111993,5.993024836764402,0.8181693818743604,0.7274168715910673,0.6676794208503032,0.7831141876399728,0.1619267201880834,0.740876046661828,7.004300708488353,7.400233367467996,9.316574968541701,8.972826774021788,0.09758608980068782,0.411009189453607,100.0,100.0,100.0,1.0,1.3030949791929102e-16,rf_500_third_v5_glcm_lbp,3,v8,rf,v5_glcm_lbp,924,464.9,B02_max_2021_summer; B02_mean_2021_summer; B04_mean_2021_summer; NDWI_q75_2020_spring; B08_mean_2021_spring; B08_min_2020_spring; B08_min_2020_summer; B03_min_2020_autumn; NBR_q25_2021_summer; B08_min_2021_summer,0.7871481657028199
model,0.6013089520558328,0.7118557906802611,6.00134625746667,12.499173982931115,6.283346309452508,0.8415417603018012,0.6792396707889042,0.6035006597786358,0.7422831194008688,0.13107307702608628,0.6102154250388654,6.792447886618282,8.206771739222289,10.360037194208784,10.034048461595738,0.09915918779468831,0.5156130753602406,100.0,100.0,100.0,1.0,1.269639231326706e-16,extratrees_1000_v5_glcm_lbp,3,v8,extratrees,v5_glcm_lbp,924,26.0,NDVI_mean_2020_summer; NBR_mean_2021_spring; NBR_mean_2021_autumn; NDVI_mean_2021_autumn; NBR_q25_2021_autumn; NBR_q25_2021_summer; BSI_q75_2020_autumn; NDRE1_q25_2021_spring; NDVI_q25_2021_spring; NDRE1_mean_2021_autumn,0.7871481657028199
model,0.5790423794521083,0.7492292833513162,5.496334817798677,11.89427092459652,5.69407124208955,0.8163435116631841,0.6541690972327139,0.7040719947186391,0.7943367720850163,-0.13136055763346288,0.6366934586467494,7.177580242588082,7.820712866264781,8.460348884608857,8.908020200684872,0.10880518854618434,0.5025415240992632,100.0,100.0,100.0,1.0,1.222185831907151e-16,catboost_deeper_v5_glcm_lbp,3,v8,catboost,v5_glcm_lbp,924,955.4,B03_min_2020_autumn; TC_wet_mean_2020_autumn; NDVI_range_2021_summer; NDVI_range_2021_autumn; B8A_mean_2020_spring; B02_max_2021_summer; B06_max_2021_autumn; B08_min_2021_summer; B03_min_2021_autumn; B08_min_2020_spring,0.7871481657028199
model,0.6728856310026327,0.9191687489809456,1.45582159931296,4.781885527231103,2.2602574212534545,0.9343221226669229,0.7160207986318673,0.4969351105172547,0.946509590921686,0.01343672081634606,0.930089442461649,3.55183605449871,2.034914616405699,0.21533337240141415,2.573221414518086,0.11853592169698847,0.24108821635686917,100.0,100.0,100.0,1.0,1.503069256388455e-16,extratrees_500_v5_glcm_lbp,4,v8,extratrees,v5_glcm_lbp,924,11.2,B03_min_2020_autumn; B03_min_2021_autumn; B03_min_2020_summer; GLCM_NDVI_homogeneity_2021_summer; TC_wet_mean_2021_autumn; TC_wet_mean_2020_autumn; B03_min_2021_summer; B05_min_2020_summer; B08_min_2020_summer; B05_min_2021_summer,0.7871481657028199
model,0.6544165035456879,0.9214058395854253,1.412981581970088,4.752020599873813,2.2039751401840078,0.9359235070421326,0.7218448450969159,0.3785902770279508,0.9505871290144227,0.009280384562861399,0.930272878529757,3.4519616273098714,1.9981307872294463,0.22418121667777657,2.4436855813386225,0.11867484695124364,0.2412554323135754,100.0,100.0,100.0,1.0,1.5674432750931124e-16,rf_500_v5_glcm_lbp,4,v8,rf,v5_glcm_lbp,924,30.4,B02_max_2021_summer; TC_wet_mean_2020_autumn; TC_green_std_2021_summer; B03_min_2020_autumn; B03_min_2021_autumn; B08_min_2021_summer; B06_mean_2020_autumn; B08_min_2020_autumn; B06_q25_2020_autumn; TC_wet_mean_2020_summer,0.7871481657028199
model,0.6572636379043441,0.8934979955865289,1.6372075528852215,5.451427641757906,2.1954657786308993,0.9114121634204038,0.6762672936668648,0.34267873750820976,0.9222637832464878,0.20247960700871215,0.8884802425752997,4.079294805567888,2.094650374077051,0.2106736226562136,3.049721685272153,0.10677965988231046,0.28212516985570313,100.0,100.0,100.0,1.0,1.3133249073628515e-16,catboost_1000_v5_glcm_lbp,4,v8,catboost,v5_glcm_lbp,924,200.9,TC_wet_mean_2020_autumn; TC_bright_mean_2021_autumn; B02_max_2021_summer; B03_min_2020_autumn; B06_mean_2020_autumn; TC_green_std_2021_summer; B03_min_2021_autumn; GLCM_NDVI_homogeneity_2020_spring; GLCM_NDVI_dissimilarity_2021_summer; B06_max_2021_autumn,0.7871481657028199
model,0.6758525185901395,0.9250910182988602,1.3759104016443868,4.632055825470085,2.147635200134627,0.9395949637129016,0.7285950420923952,0.4815279715495331,0.9526662537755496,0.02160326807749291,0.9311276123328971,3.344719136527336,1.9701277639741228,0.20744661783727272,2.3834323710175127,0.11793661715140825,0.2317999033586852,100.0,100.0,100.0,1.0,1.58288770698173e-16,extratrees_500_third_v5_glcm_lbp,4,v8,extratrees,v5_glcm_lbp,924,86.6,TC_wet_mean_2020_autumn; B03_min_2021_autumn; B03_min_2020_autumn; B08_min_2021_summer; B03_min_2020_summer; B08_min_2020_summer; TC_wet_mean_2021_autumn; NDWI_q75_2021_summer; B03_min_2021_summer; B02_max_2021_summer,0.7871481657028199
model,0.6359629320354133,0.9241563101091861,1.3730124815858664,4.718460309205532,2.155391516831739,0.9381664896053856,0.7297282287978493,0.26297242121431186,0.9555653780264198,0.008570720198281534,0.9207743543701301,3.354354004516321,1.953260986968957,0.24029814289272525,2.3308391601579985,0.11878012446853911,0.24054247051066643,100.0,100.0,100.0,1.0,1.6980639625613157e-16,rf_500_third_v5_glcm_lbp,4,v8,rf,v5_glcm_lbp,924,314.1,TC_wet_mean_2020_autumn; B02_max_2021_summer; TC_bright_mean_2021_autumn; B03_min_2020_autumn; B06_mean_2020_autumn; TC_wet_mean_2020_summer; B02_q75_2021_summer; B02_mean_2021_summer; B08_min_2021_summer; B03_min_2020_summer,0.7871481657028199
model,0.6772096086126292,0.9193606284777226,1.4522383861795052,4.769551814478088,2.2546776356289486,0.9346995781453233,0.7147143894049119,0.5217300041754468,0.9463856396159199,0.014833795909979797,0.9308942444241286,3.5404185354670825,2.0374498558381484,0.21082572238992323,2.5668762295304193,0.11839601980299938,0.2394639540484599,100.0,100.0,100.0,1.0,1.6555058669775083e-16,extratrees_1000_v5_glcm_lbp,4,v8,extratrees,v5_glcm_lbp,924,22.3,B03_min_2020_autumn; B03_min_2021_autumn; B03_min_2021_summer; GLCM_NDVI_homogeneity_2021_summer; B03_min_2020_summer; TC_wet_mean_2020_autumn; B08_min_2021_summer; GLCM_NDVI_dissimilarity_2021_summer; B08_min_2020_summer; B05_min_2021_autumn,0.7871481657028199
model,0.6673059568334897,0.9135425108867443,1.4951780919985453,4.951628820368806,2.1704714118213286,0.9283160323103173,0.7124473535508493,0.4385362373787881,0.9422980852105884,0.06781434807576203,0.9144236844745561,3.6904784815485265,2.011307598025673,0.2069903312189065,2.6850635738814796,0.11594363989885981,0.2612849274178394,100.0,100.0,100.0,1.0,1.3020854578192087e-16,catboost_deeper_v5_glcm_lbp,4,v8,catboost,v5_glcm_lbp,924,954.7,TC_wet_mean_2020_autumn; B03_min_2020_autumn; B02_max_2021_summer; TC_bright_mean_2021_autumn; B03_min_2021_autumn; GLCM_NDVI_dissimilarity_2021_summer; GLCM_NDVI_homogeneity_2020_spring; B08_min_2021_summer; TC_wet_mean_2021_summer; TC_green_std_2021_summer,0.7871481657028199
