fold,group,n_features,r2,mae,time
0,Morph+VegIdx,255,0.7310131061393764,3.398685310444132,39.8553352355957
0,Morph+RedEdge,327,0.7238173721253293,3.370734601926215,45.10643434524536
0,Morph+TC,171,0.7441153275945923,3.755465573489151,18.716392993927002
0,GLCM+VegIdx,270,0.7183713532706415,3.442002907210832,40.723241567611694
0,GLCM+RedEdge,342,0.7188756194805,3.531367709201299,44.358219623565674
0,GLCM+TC,186,0.7267175107153842,4.373711687507362,17.9841628074646
0,GLCM+Morph+VegIdx+RedEdge,597,0.7617618640812932,3.177723866382815,58.204315185546875
0,GLCM+Morph+VegIdx+TC,441,0.7699400382383921,3.207839081751123,49.29727602005005
0,GLCM+Morph+RedEdge+TC,513,0.770569626911803,3.1700265911109144,51.6172091960907
0,GLCM+Morph+VegIdx+RedEdge+TC,633,0.7875482565170103,3.0554665305119006,57.84294295310974
1,Morph+VegIdx,255,0.715972793300771,4.508101200535867,35.07201957702637
1,Morph+RedEdge,327,0.6729172243932421,4.659767462843027,42.51211881637573
1,Morph+TC,171,0.6703085795255938,4.526080181887512,14.172839879989624
1,GLCM+VegIdx,270,0.7153709391716677,4.721393359395887,37.931851863861084
1,GLCM+RedEdge,342,0.6538168853063496,4.934126228924356,42.923890352249146
1,GLCM+TC,186,0.6432513869274918,5.060329357511546,16.201542377471924
1,GLCM+Morph+VegIdx+RedEdge,597,0.6926806949876426,4.405528247320575,61.79366397857666
1,GLCM+Morph+VegIdx+TC,441,0.7009427353507899,4.173784881371779,47.177340507507324
1,GLCM+Morph+RedEdge+TC,513,0.6967480668202223,4.334847602008846,55.03851795196533
1,GLCM+Morph+VegIdx+RedEdge+TC,633,0.7168256835787824,4.162904571843308,57.6021785736084
2,Morph+VegIdx,255,0.5149284064090002,2.2669175329840785,39.63338327407837
2,Morph+RedEdge,327,0.45156299707733333,2.3640609214518364,46.1904182434082
2,Morph+TC,171,0.4396836738564877,2.4136698617895704,16.114628076553345
2,GLCM+VegIdx,270,0.5606967427065619,2.261874975130869,39.34295845031738
2,GLCM+RedEdge,342,0.4953593878763421,2.2985092235816182,44.35253858566284
2,GLCM+TC,186,0.48787909122980283,2.492732350874883,16.65005087852478
2,GLCM+Morph+VegIdx+RedEdge,597,0.5381485138617803,2.1128687511739255,62.92253756523132
2,GLCM+Morph+VegIdx+TC,441,0.5450209941598835,2.118646273564218,51.70922565460205
2,GLCM+Morph+RedEdge+TC,513,0.5204018164776799,2.1874055660142226,60.3976993560791
2,GLCM+Morph+VegIdx+RedEdge+TC,633,0.5468060801285605,2.069289280555715,68.41722536087036
3,Morph+VegIdx,255,0.4890651397721737,5.44504166838933,35.816596269607544
3,Morph+RedEdge,327,0.6585129171164975,5.420052397851378,38.55493712425232
3,Morph+TC,171,0.643327481795405,5.470637419454303,15.115999460220337
3,GLCM+VegIdx,270,0.5351957122826823,5.553141450141527,36.16420292854309
3,GLCM+RedEdge,342,0.6728466408230213,5.6539661660881615,37.33895254135132
3,GLCM+TC,186,0.6162480600887892,5.987600059731114,14.893469333648682
3,GLCM+Morph+VegIdx+RedEdge,597,0.6602730395039332,5.193200418441015,55.179062366485596
3,GLCM+Morph+VegIdx+TC,441,0.6543451466698081,5.1926179845423555,46.22645401954651
3,GLCM+Morph+RedEdge+TC,513,0.6371222901998409,5.170218385645217,50.82715940475464
3,GLCM+Morph+VegIdx+RedEdge+TC,633,0.6536853709763156,5.1083414015730355,55.74218678474426
4,Morph+VegIdx,255,0.472285913102276,1.7013202800554055,31.368184566497803
4,Morph+RedEdge,327,0.5249131712359462,1.5839315419849922,38.932793378829956
4,Morph+TC,171,0.5025258801568359,1.776850771613255,13.537533283233643
4,GLCM+VegIdx,270,0.5256423733695849,1.6668551473918511,35.31015062332153
4,GLCM+RedEdge,342,0.5835142344839955,1.5408708108343498,39.568156719207764
4,GLCM+TC,186,0.558846240559223,1.806850606750342,14.95829463005066
4,GLCM+Morph+VegIdx+RedEdge,597,0.5335743020511584,1.4629557920012435,56.9792160987854
4,GLCM+Morph+VegIdx+TC,441,0.5297496796413511,1.5346718231276866,45.295796632766724
4,GLCM+Morph+RedEdge+TC,513,0.5570087112679197,1.5311093472519175,50.753403186798096
4,GLCM+Morph+VegIdx+RedEdge+TC,633,0.563338397219156,1.4568174486264824,56.67352080345154
