model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,run_name,model_type,feature_set,n_features,morans_i_mean,elapsed_s,top10_features
rf_500_third_feat_bands_and_indices,0.6592852116757743,0.8525101473832533,3.35137504695999,8.447701751604967,4.376099166316453,0.9028931597732281,0.7426639548874033,0.6916731155745617,0.887356894928018,0.016996431798590783,0.7141277130927881,6.087944408992146,4.4094259119284125,2.27884912585662,6.744647598464535,0.23822492565329792,0.34915831086494914,100.0,100.0,100.0,1.0,1.2716620788349647e-16,rf_500_third_feat_bands_and_indices,rf,bands_and_indices,798,0.3764333333333334,291.3,B02_mean_2020_autumn; B08_min_2021_summer; B02_mean_2021_summer; B08_min_2020_summer; TC_wet_mean_2020_autumn; B03_mean_2020_autumn; B03_mean_2021_autumn; B03_min_2020_autumn; B08_min_2020_autumn; B03_min_2021_summer
extratrees_1000_feat_bands_and_indices,0.6770846442130893,0.8617840319211182,3.3369461328448398,8.163362167034542,4.498531575998738,0.9089853113606366,0.7320503249198446,0.7247047553427713,0.8989324404192265,0.032114936011357176,0.7657200972246498,6.120905155820379,4.508251745642038,2.1477815904836115,6.672329248719122,0.23635760607721726,0.3360514503266466,100.0,100.0,100.0,1.0,1.263932023087068e-16,extratrees_1000_feat_bands_and_indices,extratrees,bands_and_indices,798,0.27318333333333333,19.0,B03_min_2020_autumn; TC_wet_mean_2020_autumn; NBR_mean_2020_summer; B03_min_2021_autumn; TC_wet_mean_2020_summer; B03_min_2020_summer; NDRE1_q25_2021_summer; TC_bright_mean_2021_autumn; B08_min_2020_autumn; NBR_q25_2020_summer
catboost_deeper_feat_bands_and_indices,0.6622876868109471,0.8389564886550542,3.6190236273697205,8.722159417682734,4.1250322648810345,0.8846606769486266,0.7127738405472528,0.7175567578148686,0.872519194841667,0.027614520672062826,0.7586011300411526,6.8642232080586645,4.553235597516739,2.1479098804792924,7.582746994929764,0.23793878392132456,0.3280872993125487,100.0,100.0,100.0,1.0,1.2312148421135046e-16,catboost_deeper_feat_bands_and_indices,catboost,bands_and_indices,798,0.24619999999999997,1054.2,B03_min_2020_autumn; TC_wet_mean_2020_autumn; B02_max_2021_summer; B03_min_2021_autumn; TC_green_std_2021_summer; B08_min_2020_summer; B08_min_2021_summer; NDRE2_std_2020_autumn; B04_mean_2021_summer; B08_min_2020_spring
extratrees_500_feat_bands_only,0.6659451137283215,0.8494234397920477,3.5146061932820425,8.497819652389397,4.671966059239133,0.8966038958912177,0.717780559847708,0.6961335616523265,0.8901390050535425,0.04232425954317054,0.7526894003819049,6.552055203876886,4.6379675822835855,2.2827944653095833,7.027147046223199,0.23614109482746293,0.3515317671715457,100.0,100.0,100.0,1.0,1.26696591140602e-16,extratrees_500_feat_bands_only,extratrees,bands_only,480,0.28898333333333337,7.5,B05_min_2020_autumn; B03_min_2020_autumn; B03_min_2021_autumn; B03_min_2021_summer; B08_min_2020_summer; B03_min_2020_summer; B12_q75_2021_autumn; B02_max_2021_summer; B12_mean_2020_autumn; B12_q75_2021_summer
rf_500_feat_bands_only,0.6601581765426632,0.8469381707311564,3.4889547988763154,8.569044454293111,4.598423078234626,0.895765470582988,0.7202198999116836,0.682694759273688,0.8871677859522132,0.02646553782023775,0.7486356057151089,6.459124938441994,4.585566690802102,2.348329379312468,6.954682787591701,0.23753442740033848,0.34849056970930103,100.0,100.0,100.0,1.0,1.258966299215289e-16,rf_500_feat_bands_only,rf,bands_only,480,0.3455,22.7,B08_min_2021_autumn; B08_min_2020_summer; B02_mean_2021_autumn; B08_min_2021_summer; B02_mean_2020_autumn; B08_min_2020_autumn; B03_mean_2020_autumn; B04_mean_2021_summer; B03_min_2020_autumn; B02_mean_2021_summer
catboost_1000_feat_bands_only,0.6523706781527084,0.807329382167618,4.02895249455256,9.433419132320314,4.3093663447880015,0.8475514361062882,0.6858794099620832,0.6739306805167787,0.8445398549888611,0.11467468713550577,0.7476480002066739,7.933368565865314,4.779531796725591,2.310748506842674,8.59061435163473,0.2305958181893626,0.32885592805771313,100.0,100.0,100.0,1.0,1.201142180052101e-16,catboost_1000_feat_bands_only,catboost,bands_only,480,0.2608333333333333,108.5,B03_min_2020_autumn; B08_min_2021_summer; B02_max_2021_summer; B08_min_2020_summer; B02_std_2021_summer; B03_q75_2021_autumn; B02_mean_2020_autumn; B02_mean_2021_summer; B03_min_2021_autumn; B03_q25_2020_autumn
extratrees_500_third_feat_bands_only,0.6767906721023956,0.8548857583100298,3.3997841632805827,8.335401504027717,4.497975367022065,0.9017393479966275,0.7333263159373988,0.7020972863602781,0.8921810095965317,0.05815783682499831,0.7732422358984848,6.287990536664853,4.494763351510187,2.2537620090944253,6.804160070648475,0.23478221668315427,0.3232467950824236,100.0,100.0,100.0,1.0,1.289492568130685e-16,extratrees_500_third_feat_bands_only,extratrees,bands_only,480,0.32995,42.7,B08_min_2021_summer; B08_min_2020_summer; B08_min_2020_autumn; B03_min_2020_autumn; B03_min_2021_autumn; B08_min_2020_spring; B08_min_2021_autumn; B03_min_2021_summer; B02_max_2021_summer; B12_mean_2021_autumn
rf_500_third_feat_bands_only,0.6497675609616534,0.8362940570969724,3.5430754502018305,8.833087312008741,4.506806590961498,0.8906834739271423,0.7121359815659218,0.6531687640868638,0.8746805722437333,0.023533085214803684,0.7444034887313915,6.483013258658897,4.610121803273091,2.4124838623171243,7.1690841369809215,0.23775092699810288,0.34599871298284485,100.0,100.0,100.0,1.0,1.2880030482977554e-16,rf_500_third_feat_bands_only,rf,bands_only,480,0.38233333333333336,181.7,B02_mean_2020_autumn; B08_min_2021_summer; B02_mean_2021_summer; B08_min_2020_summer; B03_min_2020_autumn; B03_mean_2020_autumn; B08_min_2021_autumn; B08_min_2020_autumn; B02_max_2021_summer; B03_mean_2021_autumn
extratrees_1000_feat_bands_only,0.6661700160106682,0.8498621748192668,3.5124489678539352,8.48446072205547,4.670617266043737,0.897409436567798,0.7195194954878497,0.6947587538878683,0.890158500296043,0.03831144484006388,0.7568624649843281,6.537396361471405,4.639446962465493,2.289359131923344,7.024663902717449,0.23642045481422108,0.3474069937316617,100.0,100.0,100.0,1.0,1.2596883446270725e-16,extratrees_1000_feat_bands_only,extratrees,bands_only,480,0.2897833333333333,13.7,B05_min_2020_autumn; B03_min_2021_autumn; B03_min_2020_autumn; B03_min_2021_summer; B11_min_2020_autumn; B08_min_2020_summer; B05_q25_2021_autumn; B02_max_2021_summer; B03_min_2020_summer; B12_q75_2021_summer
catboost_deeper_feat_bands_only,0.6522731332632187,0.8229053048972651,3.8446875041115263,9.089063099378231,4.319051496621722,0.8715564525287658,0.697263908054278,0.6844889861529442,0.8560662267811248,0.03266162125932259,0.7716016048028176,7.326613441969572,4.715782697600844,2.280499803560921,8.17610744501883,0.23735509465937538,0.33176654185956855,100.0,100.0,100.0,1.0,1.202739276626598e-16,catboost_deeper_feat_bands_only,catboost,bands_only,480,0.24873333333333333,654.1,B03_min_2020_autumn; B02_max_2021_summer; B08_min_2021_summer; B02_std_2021_summer; B08_min_2020_summer; B08_min_2020_autumn; B04_q75_2021_autumn; B03_min_2021_summer; B03_q75_2021_autumn; B03_min_2021_autumn
extratrees_500_feat_indices_only,0.6546665584029933,0.8481678647677855,3.543776576512508,8.551770359234606,4.7069839200039745,0.896123954804645,0.7157896342663294,0.7205783998158327,0.8852164326957924,-0.001170787324502598,0.7114617161598122,6.645396361249115,4.616826827692811,2.161653738654964,7.219790758617152,0.23955455397209352,0.3794372188889253,100.0,100.0,100.0,1.0,1.2350655983185483e-16,extratrees_500_feat_indices_only,extratrees,indices_only,318,0.26078333333333337,5.9,TC_wet_mean_2020_autumn; TC_bright_mean_2021_autumn; TC_bright_mean_2020_autumn; TC_bright_mean_2020_spring; TC_wet_mean_2020_summer; TC_wet_mean_2021_autumn; TC_bright_mean_2020_summer; TC_bright_mean_2021_summer; TC_wet_mean_2021_summer; NDRE2_std_2021_summer
rf_500_feat_indices_only,0.6568022899508682,0.8533935932925173,3.439013049523284,8.424101851298172,4.59611779321783,0.9059549143755232,0.7282787482204502,0.7171394351337429,0.88676286407429,-0.0013390452582928702,0.7040168231594472,6.30812921076047,4.516896263113771,2.159734212832055,7.019210687316823,0.2395973800641551,0.39051054305243266,100.0,100.0,100.0,1.0,1.2407786131391393e-16,rf_500_feat_indices_only,rf,indices_only,318,0.2856,20.0,TC_bright_mean_2021_autumn; TC_wet_mean_2020_autumn; TC_wet_mean_2021_autumn; TC_bright_mean_2020_autumn; TC_bright_mean_2020_spring; NDRE2_std_2020_autumn; NDRE2_std_2021_summer; TC_wet_mean_2020_summer; NDRE2_std_2020_summer; TC_bright_mean_2021_summer
catboost_1000_feat_indices_only,0.6127326592955609,0.8054606308645846,4.082612116280885,9.598604154667367,4.2781335794319615,0.8514787675515186,0.664964689679457,0.7016660438710665,0.8443392050991954,0.03630955253682888,0.5776376970352577,7.965421583889514,4.9361172454027535,2.176427773135737,8.715266926111001,0.23850671576047933,0.46393245338584865,100.0,100.0,100.0,1.0,1.2202521753969011e-16,catboost_1000_feat_indices_only,catboost,indices_only,318,0.20933333333333337,77.0,TC_bright_mean_2021_autumn; TC_wet_mean_2020_autumn; TC_bright_mean_2020_spring; TC_bright_mean_2020_autumn; TC_green_std_2021_summer; TC_wet_mean_2020_summer; NDRE2_std_2020_spring; NDRE2_std_2020_autumn; NDVI_range_2020_summer; TC_bright_std_2020_spring
extratrees_500_third_feat_indices_only,0.6688477007495077,0.858917641078927,3.376622747112272,8.248487931389842,4.518317061281419,0.9080164438793507,0.7363375480321792,0.7269533597875655,0.8921572355002811,0.0008955631812428422,0.7487260541163789,6.214436042471769,4.460476994780205,2.1098862934464537,6.878106253984656,0.23936061854395646,0.3574702794465918,100.0,100.0,100.0,1.0,1.2588860463833847e-16,extratrees_500_third_feat_indices_only,extratrees,indices_only,318,0.261,25.8,TC_wet_mean_2020_autumn; TC_bright_mean_2021_autumn; TC_wet_mean_2020_summer; TC_bright_mean_2020_autumn; TC_wet_mean_2021_autumn; TC_bright_mean_2020_spring; NDRE2_std_2021_summer; NBR_q25_2020_summer; TC_bright_mean_2021_summer; TC_bright_mean_2020_summer
rf_500_third_feat_indices_only,0.6450715754098139,0.8522425814620311,3.4149716366836316,8.499542925593286,4.510725937203305,0.9053494153762642,0.7405425400898256,0.7177970477563693,0.883633300587255,0.0011753573882709034,0.6219317912608554,6.213751460442205,4.439911772807454,2.179368097031776,6.988439592340854,0.23938535364623612,0.4289735438332327,100.0,100.0,100.0,1.0,1.2990939347612535e-16,rf_500_third_feat_indices_only,rf,indices_only,318,0.29506666666666664,123.5,TC_green_mean_2020_autumn; TC_wet_mean_2020_autumn; TC_green_mean_2020_summer; NDRE2_std_2020_autumn; TC_green_mean_2021_autumn; TC_wet_mean_2020_summer; NDRE2_std_2021_summer; TC_bright_mean_2021_autumn; NDRE2_std_2020_summer; TC_wet_mean_2021_autumn
extratrees_1000_feat_indices_only,0.6559811793848108,0.8489967466063577,3.5372826165674103,8.52859602107124,4.705024510148326,0.8962743968026978,0.7170335786639188,0.7220780918121206,0.8862454595045834,-0.0008045487645811367,0.7150600982900782,6.635082313711098,4.6143924000044505,2.1540968405494345,7.202603554551495,0.23951011883305995,0.37801047175491687,100.0,100.0,100.0,1.0,1.2344109987769672e-16,extratrees_1000_feat_indices_only,extratrees,indices_only,318,0.2594,12.6,TC_wet_mean_2020_autumn; TC_bright_mean_2021_autumn; TC_bright_mean_2020_spring; TC_bright_mean_2020_autumn; TC_wet_mean_2021_autumn; TC_wet_mean_2020_summer; TC_bright_mean_2021_summer; TC_bright_mean_2020_summer; TC_wet_mean_2021_summer; NDRE2_std_2021_summer
catboost_deeper_feat_indices_only,0.6356967711707499,0.8269936859552108,3.8054281073917817,9.091970760564466,4.259434889621193,0.8777943737817112,0.6877868970718914,0.702848993850125,0.8642313380095286,0.03810829354222289,0.6434107307689747,7.206695597252821,4.795229423145552,2.1797543189698296,7.992083181308601,0.23641992821048616,0.42238619546343265,100.0,100.0,100.0,1.0,1.204166462254339e-16,catboost_deeper_feat_indices_only,catboost,indices_only,318,0.18208333333333335,531.2,TC_bright_mean_2021_autumn; TC_wet_mean_2020_autumn; TC_bright_mean_2020_autumn; TC_bright_mean_2020_spring; TC_green_std_2021_summer; TC_wet_std_2020_autumn; NDVI_range_2020_summer; NDRE2_std_2020_spring; NDVI_range_2021_summer; TC_wet_mean_2021_autumn
