model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,feature_set,activation,n_layers,hidden_dim,dropout,lr,weight_decay,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.8239105169572475,0.9260614832531334,2.6929104641623915,6.013359895463135,8.28013605323168,0.9492836682586435,0.8579840929403056,0.8196704291242212,0.9541521035952024,0.5105141067328868,0.8518587010921894,4.927690706843888,3.587310131658552,2.0638018186819216,4.941100950024876,0.3088242020542074,0.3287349757109071,100.0,100.0,100.0,1.0,7.27167019931585e-08,bands_indices_texture_relu_L3_h256,bands_indices_texture,relu,3,256,0.15,0.001,0.0001,1368,485126,63,0.064997,299.2
model,0.8101632150683441,0.9180769860287026,2.8670728284497975,6.3102482563554965,7.875800277701137,0.9415512908833693,0.8390242530678264,0.8210420560233503,0.9476609120385675,0.46733806666410627,0.8443627117328067,5.207917459286677,3.9697045013440326,2.1466064134616154,5.290003515855236,0.29791682385869867,0.2902882568925231,100.0,100.0,100.0,1.0,7.403825463825342e-08,bands_indices_texture_gelu_L3_h256,bands_indices_texture,gelu,3,256,0.15,0.001,0.0001,1368,485126,41,0.067185,72.4
model,0.7764086774840583,0.9141023903629812,2.8262841522301527,6.494246975804958,7.946980445071262,0.9418852230649777,0.8337204895477722,0.8011405351564153,0.944962106267568,0.2918479583374409,0.8448957525301312,5.204881399573632,3.845487345834014,2.0656151599035737,5.284713169082664,0.26793748744862794,0.28907035153840344,100.0,100.0,100.0,1.0,7.292864268038102e-08,bands_indices_texture_geglu_L3_h128,bands_indices_texture,geglu,3,128,0.15,0.001,0.0001,1368,418054,37,0.069231,49.6
model,0.765665853822949,0.9153785301208883,2.8741153548091347,6.4590225808221575,7.838251412702287,0.9408355286400154,0.8409790263061202,0.8176065801587389,0.9440533440123703,0.2018799887042938,0.8486406551161143,5.305070897282349,3.861904217710199,2.107188436108477,5.38959980810383,0.30580446603163147,0.2751243036183222,100.0,100.0,100.0,1.0,7.337846597010866e-08,bands_indices_texture_silu_L3_h512,bands_indices_texture,silu,3,512,0.15,0.001,0.0001,1368,1232390,34,0.066365,85.7
model,0.8347069271702146,0.9268630867864134,2.677987871796417,5.9657432222626445,8.352834292500413,0.9487864743366464,0.8587027587246678,0.828539642648863,0.9540704880491382,0.5677631055669092,0.8503790936950302,4.936066223363682,3.653493917416167,1.9204286371460588,4.931734156981696,0.2929259340202944,0.3332783618506121,100.0,100.0,100.0,1.0,7.249209943438473e-08,bands_indices_texture_relu_L5_h256,bands_indices_texture,relu,5,256,0.15,0.001,0.0001,1368,617734,58,0.066009,131.5
model,0.7555183440952412,0.9152828957819589,2.833467345569907,6.483408960788078,7.830339222780467,0.9435937032512534,0.8358618040721842,0.7995608690943985,0.9470931995701327,0.1623694393095737,0.8446310492738585,5.180154552229381,3.7619313888780064,2.140600802119066,5.2892627258716844,0.31759245001286984,0.31126215430843474,100.0,100.0,100.0,1.0,7.369131793666384e-08,bands_indices_texture_silu_L4_h256,bands_indices_texture,silu,4,256,0.15,0.001,0.0001,1368,551430,38,0.066427,72.5
model,0.7887305695844807,0.9130163597623947,2.835881606716386,6.519801245427727,7.495920502916319,0.9406042064929812,0.8382497487545391,0.7936317601127126,0.9431655842129422,0.3811716010930719,0.8355605168405931,5.269579258975458,3.8424477876573007,2.036073951578545,5.301314474379799,0.2636394292013769,0.3022347385058385,100.0,100.0,100.0,1.0,7.341021301954243e-08,bands_indices_texture_geglu_L2_h256,bands_indices_texture,geglu,2,256,0.15,0.001,0.0001,1368,835078,37,0.067375,60.0
model,0.7698135764368442,0.9226032755753595,2.717222679144067,6.21723441785884,8.150643910416086,0.9485812833762933,0.8573393547858388,0.8044340362534604,0.952437128131451,0.20933981977467697,0.8467498362993027,4.964374649326133,3.61774640332819,2.057046040376375,4.994777781775467,0.3562335660427364,0.3131576340155051,100.0,100.0,100.0,1.0,7.329905571396012e-08,bands_indices_texture_relu_L3_h256_d0.1,bands_indices_texture,relu,3,256,0.1,0.001,0.0001,1368,485126,60,0.065082,81.1
model,0.8057601593491769,0.9188502941998481,2.846827439938214,6.291025083439427,7.7641700525560005,0.9417570157855245,0.8486585061257751,0.8284230375801538,0.9454496668106083,0.4291832325556454,0.8410894972373194,5.354612481780469,3.7079951962427242,1.9663772462799114,5.470147021762536,0.2830395476868408,0.29879314587680306,100.0,100.0,100.0,1.0,7.319568595676174e-08,bands_indices_texture_silu_L3_h256_lr0.005,bands_indices_texture,silu,3,256,0.15,0.005,0.0001,1368,485126,45,0.069197,33.5
model,0.7789993999190724,0.9156895768537935,2.8072443955948003,6.4425905008959425,7.718468533611152,0.9422511616592171,0.8382205245544958,0.803848762680918,0.9465795223426425,0.30240412090891655,0.8406923073682027,5.168673907644469,3.767910851326633,2.086568131504084,5.208298863354193,0.3175756417880114,0.2944389779514107,100.0,100.0,100.0,1.0,7.399891188697438e-08,bands_indices_texture_geglu_L3_h256_lr0.0005,bands_indices_texture,geglu,3,256,0.15,0.0005,0.0001,1368,967174,40,0.069955,37.7
model,0.7827358491316986,0.9149500748712467,2.863835084760826,6.46482192306357,7.946393338572017,0.9404407920163275,0.8371159519080875,0.7813640965118833,0.9506139363668291,0.3451681660492407,0.8417121519377764,5.1993992794660535,4.029272657167149,2.232046697624437,5.12910206516599,0.30527691747182994,0.28791289166949474,100.0,100.0,100.0,1.0,7.373872534799375e-08,bands_indices_hog_geglu_L3_h256,bands_indices_hog,geglu,3,256,0.15,0.001,0.0001,1002,779782,33,0.066712,27.9
model,0.7765054127266221,0.9178316810974002,2.843820588916847,6.374902541321295,7.9735434251800035,0.9418859117677739,0.840897509950391,0.8106395338837991,0.9499839588516066,0.2746048359472971,0.8410207259588258,5.151778652768088,3.8894800863227066,2.252311962732221,5.1569103194168315,0.3240406955890026,0.2884018166722328,100.0,100.0,100.0,1.0,7.296856807670338e-08,bands_indices_hog_silu_L3_h256,bands_indices_hog,silu,3,256,0.15,0.001,0.0001,1002,391430,41,0.062247,31.1
model,0.7940420639765429,0.9228145995365883,2.737701814097214,6.177221256238866,8.074680172133624,0.9465010750633169,0.8528612731424675,0.8147502104582242,0.9527534952931238,0.35034399268499694,0.8470423372170892,5.0481945963953025,3.6831356228025935,2.051353804630279,4.999973008039381,0.3233087201612657,0.3202451325544599,100.0,100.0,100.0,1.0,7.302042348555915e-08,bands_indices_hog_relu_L3_h256,bands_indices_hog,relu,3,256,0.15,0.001,0.0001,1002,391430,65,0.063792,47.6
model,0.7633303190817662,0.9167838581212511,2.8213308819986684,6.417869409552875,7.850094390720706,0.9396983969749501,0.8356927499019196,0.8192555979884701,0.9496227805048651,0.18747520081859592,0.848237188301757,5.289406031176933,3.859246237374166,2.036458245482015,5.154039674125074,0.30311292000231177,0.28572218383151193,100.0,100.0,100.0,1.0,7.376241484280399e-08,bands_indices_hog_gelu_L3_h256,bands_indices_hog,gelu,3,256,0.15,0.001,0.0001,1002,391430,39,0.064113,31.8
model,0.762940814249022,0.9155221106681715,2.8121833077732807,6.472278597934576,7.632784496463643,0.9372534486439172,0.8432937992029107,0.8071769742387623,0.9489762166671822,0.20322194982462727,0.8377224969166895,5.290500312834738,3.7686218298901815,2.0429788708861603,5.190936827697323,0.2866184472853346,0.29344355804595,100.0,100.0,100.0,1.0,7.250012856729882e-08,bands_indices_hog_geglu_L3_h128,bands_indices_hog,geglu,3,128,0.15,0.001,0.0001,1002,324358,52,0.068394,32.0
model,0.806475979322574,0.9204394315544623,2.762974765028718,6.23605732349222,7.566165997496395,0.9414912030967574,0.840551745229535,0.8358698695772012,0.950319168831238,0.4294996466517068,0.8411242425489724,5.187526957409512,3.786440683089808,1.9198377961975013,5.117294676779014,0.27607542789861117,0.2906730487978615,100.0,100.0,100.0,1.0,7.219018982596026e-08,bands_indices_hog_silu_L3_h512,bands_indices_hog,silu,3,512,0.15,0.001,0.0001,1002,1044998,42,0.064927,51.2
model,0.8242025932357723,0.9276541721646125,2.6579855738051394,5.954038061863573,8.226035052319034,0.9486402714196548,0.858169936330871,0.8435490333064237,0.9539550505357932,0.49215752395760826,0.8487437438642521,4.941737657819495,3.6091086290298953,1.8932689334963666,4.895606936362691,0.2991479981452566,0.30904328797713204,100.0,100.0,100.0,1.0,7.305231974896742e-08,bands_indices_hog_relu_L5_h256,bands_indices_hog,relu,5,256,0.15,0.001,0.0001,1002,524038,68,0.061888,69.5
model,0.7728532448846662,0.9203670600121602,2.7950639652977474,6.278842464349315,7.80187687997164,0.9421623770011658,0.8487837058209182,0.8334901741811228,0.9490721856167122,0.21231120272844772,0.8512998239595944,5.160198068640399,3.7601120457210397,2.053068729611797,5.200940416589667,0.32446646769042925,0.2715980635331521,100.0,100.0,100.0,1.0,7.219018982596026e-08,bands_indices_hog_silu_L4_h256,bands_indices_hog,silu,4,256,0.15,0.001,0.0001,1002,457734,45,0.065659,39.1
model,0.7653028314937057,0.9130345034601927,2.8825278688088583,6.54830354623609,7.61863035817258,0.9374511731039521,0.8311108999158953,0.8031485639264813,0.9470458579038759,0.23240833897292867,0.840652155139057,5.3844956432030955,3.8920580801419478,2.1579374701635685,5.291028030396029,0.2805323313701363,0.28911565757837215,100.0,100.0,100.0,1.0,7.266462631605464e-08,bands_indices_hog_geglu_L2_h256,bands_indices_hog,geglu,2,256,0.15,0.001,0.0001,1002,647686,36,0.068286,25.3
model,0.8332217676973381,0.9208630631384552,2.7971768220231867,6.1801710745603815,8.289849411295537,0.9432105620807176,0.8493642951396361,0.8125889026602938,0.9503854679461936,0.6011444062481083,0.8426369721090412,5.163961898201137,3.7096326539014783,2.117986497919124,5.120947693400611,0.3301798861449824,0.34035230257178806,100.0,100.0,100.0,1.0,7.267264123811401e-08,bands_indices_hog_relu_L3_h256_d0.1,bands_indices_hog,relu,3,256,0.1,0.001,0.0001,1002,391430,59,0.064972,45.0
model,0.8226419832640318,0.9154049453492525,2.9004945977367207,6.379487645360523,8.03832650322409,0.9382767728749245,0.8415788983805708,0.8056288417773922,0.9455684948877175,0.5620592985514894,0.8427395931120568,5.348110753380573,3.9181868406738465,2.135880764638096,5.382595159927897,0.3225554037757451,0.295638664024171,100.0,100.0,100.0,1.0,7.372687349516127e-08,bands_indices_hog_silu_L3_h256_lr0.005,bands_indices_hog,silu,3,256,0.15,0.005,0.0001,1002,391430,44,0.067806,36.9
model,0.7631833672903253,0.9127783590045614,2.909379307404724,6.552907952576548,8.179452772656042,0.9385001437846474,0.8275891849623189,0.8137573329217374,0.9446773667536287,0.21171089933759768,0.8428652759819837,5.338277236502675,4.0631449689028125,2.062538854147578,5.360470343869908,0.3370870136034153,0.2947574274019525,100.0,100.0,100.0,1.0,7.268867108223276e-08,bands_indices_hog_geglu_L3_h256_lr0.0005,bands_indices_hog,geglu,3,256,0.15,0.0005,0.0001,1002,779782,33,0.069109,29.2
model,0.778312246014201,0.9206043928631715,2.718586492575686,6.278099287599689,7.443472120791265,0.9455691153651807,0.8477744063306341,0.8175668067486959,0.9502106091603895,0.268842045398184,0.8399104930820825,5.062244723231132,3.6879770100812657,1.920748529642014,5.1141411775234165,0.24764455783156708,0.27876295714471977,100.0,100.0,100.0,1.0,7.284474179414246e-08,bands_indices_glcm_lbp_geglu_L3_h256,bands_indices_glcm_lbp,geglu,3,256,0.15,0.001,0.0001,924,739846,43,0.061158,35.5
model,0.784146912381988,0.9271955889764874,2.6727630157821274,6.033080952758518,7.734712936791155,0.9476989602948463,0.8608077210496402,0.8545163924883119,0.9531457420269362,0.2530221689085551,0.8356904895236066,4.9705976313577045,3.685566945811679,1.8513761195334872,4.967478757070791,0.2732335317044902,0.28832510921461385,100.0,100.0,100.0,1.0,7.355287579002834e-08,bands_indices_glcm_lbp_silu_L3_h256,bands_indices_glcm_lbp,silu,3,256,0.15,0.001,0.0001,924,371462,54,0.058536,41.9
model,0.8303260556699485,0.9302009731106378,2.615218344092218,5.858591729365003,8.02612396942756,0.9495980311655614,0.8604471735590469,0.8498127404815806,0.9572935335548038,0.5253073171848109,0.8394975380738599,4.854848250955717,3.6147607497364667,1.8780561510906462,4.761507701747739,0.27372448102696434,0.30841272999577296,100.0,100.0,100.0,1.0,7.194370255092508e-08,bands_indices_glcm_lbp_relu_L3_h256,bands_indices_glcm_lbp,relu,3,256,0.15,0.001,0.0001,924,371462,88,0.057161,62.8
model,0.7897919027987977,0.925812742844958,2.6710871167806665,6.073662091363812,7.745162655132781,0.9477342170332345,0.8548891218616164,0.8476248860247744,0.9524631340063133,0.2957287558650652,0.8403113020017527,4.9185247576592035,3.6713649533427444,1.847974873078228,4.990976069913306,0.29729001392159404,0.30039203276892185,100.0,100.0,100.0,1.0,7.297654747162596e-08,bands_indices_glcm_lbp_gelu_L3_h256,bands_indices_glcm_lbp,gelu,3,256,0.15,0.001,0.0001,924,371462,46,0.058499,35.2
model,0.7859028016591049,0.921892029450439,2.6634160404823444,6.224673564529487,7.51025803913215,0.9450777550969497,0.8485308654099298,0.8236165872294994,0.9519525555401535,0.30805039942467294,0.8381886472533859,4.9463421311806774,3.622329869934264,1.889842790147862,4.956266592335657,0.2661599260729015,0.2995549332227025,100.0,100.0,100.0,1.0,7.28487421497448e-08,bands_indices_glcm_lbp_geglu_L3_h128,bands_indices_glcm_lbp,geglu,3,128,0.15,0.001,0.0001,924,304390,58,0.061149,34.1
model,0.83070430286547,0.9301549088536457,2.6175681688861667,5.86222006179761,7.50789798842583,0.9493307105299449,0.8645789032148458,0.858927588429204,0.9547619382693503,0.5279031561916452,0.8287235205578031,4.8471672958089655,3.6328157416098037,1.8158595560194772,4.848013762940444,0.26203403481038867,0.2995186221279214,100.0,100.0,100.0,1.0,7.379004074437034e-08,bands_indices_glcm_lbp_silu_L3_h512,bands_indices_glcm_lbp,silu,3,512,0.15,0.001,0.0001,924,1005062,52,0.057265,61.9
model,0.8311653467961219,0.9321953259811708,2.576365255247238,5.779010701946851,8.052591776628772,0.9513473153559174,0.8662135025177997,0.8600516604440218,0.956852611655723,0.509128306961625,0.843398683841617,4.798713614685632,3.5134613114356457,1.8078328293428172,4.745653245004455,0.2895349537784121,0.30299557723646714,100.0,100.0,100.0,1.0,7.22829085475496e-08,bands_indices_glcm_lbp_relu_L5_h256,bands_indices_glcm_lbp,relu,5,256,0.15,0.001,0.0001,924,504070,93,0.058017,94.1
