fold,feature_set,config,n_features,r2,mae,time,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,subsample_freq
0,VegIdx+RedEdge+TC+NDTI+CRI1,n1000,408,0.8258362973216128,3.028047244858156,60.772268533706665,1000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,n2000,408,0.8262004333262372,3.0318221077879124,117.43300795555115,2000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,depth4,408,0.8182277123051817,3.1484332395780523,20.75658679008484,500,4,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,depth8,408,0.8266721938638559,3.0210438742699086,39.381250619888306,500,8,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,depth12,408,0.8266150699753799,3.02414927014938,45.13248109817505,500,12,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,depth_none,408,0.8304136017924657,3.026676764579192,46.57112526893616,500,-1,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,leaves15,408,0.8203836830729215,3.0979126029513067,27.216527223587036,500,6,0.05,15,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,leaves63,408,0.8244180519706775,3.0187580374143343,42.209064245224,500,6,0.05,63,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,leaves127,408,0.8244180519706775,3.0187580374143343,47.02371573448181,500,6,0.05,127,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,leaves255,408,0.8244180519706775,3.0187580374143343,47.04681444168091,500,6,0.05,255,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.01,408,0.8086050808226634,3.279467449435209,43.67599177360535,500,6,0.01,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.1,408,0.8248552713689353,3.0750633482201084,40.596964597702026,500,6,0.1,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,lr0.2,408,0.816232378387892,3.2096362543318167,41.42658710479736,500,6,0.2,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,reg0.0,408,0.8238264862592146,3.049950327212718,40.03275775909424,500,6,0.05,31,20,0.0,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,reg1.0,408,0.8246801286006947,3.0331464083137387,39.68461346626282,500,6,0.05,31,20,1.0,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,reg5.0,408,0.8236666104054441,3.0336364358414065,41.861841440200806,500,6,0.05,31,20,5.0,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,reg10.0,408,0.823362057829887,3.0330038931586074,39.78962683677673,500,6,0.05,31,20,10.0,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,ss0.6,408,0.8227027821541891,3.0270470879873694,33.889373540878296,500,6,0.05,31,20,0.1,0.6,0.85,1.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,ss0.7,408,0.821336767614124,3.01042927334831,33.93311333656311,500,6,0.05,31,20,0.1,0.7,0.85,1.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,ss1.0,408,0.8239782411676142,3.0376825168501638,36.40974307060242,500,6,0.05,31,20,0.1,1.0,0.85,0.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,cs0.5,408,0.8267274743549803,3.0006658375019915,31.763123273849487,500,6,0.05,31,20,0.1,0.85,0.5,
0,VegIdx+RedEdge+TC+NDTI+CRI1,cs0.7,408,0.8239702526646678,3.0187488109239458,34.18642973899841,500,6,0.05,31,20,0.1,0.85,0.7,
0,VegIdx+RedEdge+TC+NDTI+CRI1,cs1.0,408,0.8206408611083039,3.0500817983810022,40.85627365112305,500,6,0.05,31,20,0.1,0.85,1.0,
0,VegIdx+RedEdge+TC+NDTI+CRI1,mcs5,408,0.8212039993792318,3.044156856773105,44.77726674079895,500,6,0.05,31,5,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,mcs50,408,0.8037872425951674,3.08152891744443,33.856751441955566,500,6,0.05,31,50,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,mcs100,408,0.7899443543493011,3.1190906472207667,30.49665117263794,500,6,0.05,31,100,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+CRI1,strong_deep,408,0.8257543622947905,2.9843788839085907,330.3228933811188,1000,-1,0.03,127,10,1.0,0.8,0.8,1.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,strong_conservative,408,0.8092773567229625,2.9658459648493123,87.75227618217468,1000,8,0.03,63,30,5.0,0.7,0.7,1.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,strong_shallow,408,0.827638241617799,3.0578595164414124,79.83574509620667,2000,4,0.02,15,20,0.5,0.85,0.85,1.0
0,VegIdx+RedEdge+TC+NDTI+CRI1,strong_wide,408,0.82972108131237,2.9604215454079483,80.55944657325745,1000,6,0.03,255,20,3.0,0.8,0.7,1.0
0,VegIdx+RedEdge+TC,base,348,0.8077771821163645,3.0534405221865413,34.63855171203613,500,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,n200,348,0.7989331754687242,3.108048803599659,16.893688440322876,200,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,n1000,348,0.8100463415023244,3.042404723610963,64.35716342926025,1000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,n2000,348,0.8103527243855781,3.0444382697271255,128.87765264511108,2000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,depth4,348,0.8015557378023913,3.159482909847005,22.03222918510437,500,4,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,depth8,348,0.8127234772171684,3.035950973172968,38.363948345184326,500,8,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,depth12,348,0.8119272466692212,3.0355996215470986,34.25070548057556,500,12,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,depth_none,348,0.8156699229949075,3.039958833751132,34.4885196685791,500,-1,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,leaves15,348,0.805457004555106,3.127015284482357,20.12328267097473,500,6,0.05,15,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,leaves63,348,0.8081695733902915,3.0400536300703775,31.58258032798767,500,6,0.05,63,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,leaves127,348,0.8081695733902915,3.0400536300703775,29.528783559799194,500,6,0.05,127,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,leaves255,348,0.8081695733902915,3.0400536300703775,29.548402547836304,500,6,0.05,255,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,lr0.01,348,0.7899229315227112,3.267009671006623,33.87486529350281,500,6,0.01,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,lr0.1,348,0.8057432285911355,3.1137858954141926,31.93390417098999,500,6,0.1,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,lr0.2,348,0.8002000104999425,3.2003138082297244,32.40439319610596,500,6,0.2,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,reg0.0,348,0.8084081809760506,3.049754214300708,24.501158714294434,500,6,0.05,31,20,0.0,0.85,0.85,
0,VegIdx+RedEdge+TC,reg1.0,348,0.8086766823777182,3.059787088607882,25.19560670852661,500,6,0.05,31,20,1.0,0.85,0.85,
0,VegIdx+RedEdge+TC,reg5.0,348,0.8067956439013484,3.057286888843804,25.091784238815308,500,6,0.05,31,20,5.0,0.85,0.85,
0,VegIdx+RedEdge+TC,reg10.0,348,0.8107602832958628,3.03711536272048,24.103365421295166,500,6,0.05,31,20,10.0,0.85,0.85,
0,VegIdx+RedEdge+TC,ss0.6,348,0.8060021862266201,3.0345949342333673,22.422160148620605,500,6,0.05,31,20,0.1,0.6,0.85,1.0
0,VegIdx+RedEdge+TC,ss0.7,348,0.8094920530060454,3.0473371536924723,23.519931077957153,500,6,0.05,31,20,0.1,0.7,0.85,1.0
0,VegIdx+RedEdge+TC,ss1.0,348,0.8077771821163645,3.0534405221865413,24.02746295928955,500,6,0.05,31,20,0.1,1.0,0.85,0.0
0,VegIdx+RedEdge+TC,cs0.5,348,0.811021679472952,3.030453452617475,20.348729372024536,500,6,0.05,31,20,0.1,0.85,0.5,
0,VegIdx+RedEdge+TC,cs0.7,348,0.8096503744625881,3.0571006791729993,21.835127115249634,500,6,0.05,31,20,0.1,0.85,0.7,
0,VegIdx+RedEdge+TC,cs1.0,348,0.8063381362810552,3.0722243098371087,26.154301643371582,500,6,0.05,31,20,0.1,0.85,1.0,
0,VegIdx+RedEdge+TC,mcs5,348,0.8186209046376779,3.068028450302821,26.918351888656616,500,6,0.05,31,5,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,mcs50,348,0.7911346751804386,3.0824234074256145,21.1771821975708,500,6,0.05,31,50,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,mcs100,348,0.7756662752927911,3.1329841354759544,19.15738010406494,500,6,0.05,31,100,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC,strong_deep,348,0.816265907645006,2.99065426978208,191.86462450027466,1000,-1,0.03,127,10,1.0,0.8,0.8,1.0
0,VegIdx+RedEdge+TC,strong_conservative,348,0.8001728859141343,2.971423094470153,58.7908239364624,1000,8,0.03,63,30,5.0,0.7,0.7,1.0
0,VegIdx+RedEdge+TC,strong_shallow,348,0.8108237262905634,3.0675300288793657,54.53643608093262,2000,4,0.02,15,20,0.5,0.85,0.85,1.0
0,VegIdx+RedEdge+TC,strong_wide,348,0.8157675415351231,2.985215704301283,48.10025334358215,1000,6,0.03,255,20,3.0,0.8,0.7,1.0
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,base,438,0.7244958529418047,4.0493282189861,30.79094123840332,500,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n200,438,0.723985636234616,4.112907974228256,16.165857791900635,200,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n1000,438,0.724213582767899,4.040640086799407,55.69334030151367,1000,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n2000,438,0.723731812789559,4.046091390169585,107.07654786109924,2000,6,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth4,438,0.7253653849331391,4.146379038512841,20.592743635177612,500,4,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth8,438,0.7207244321231125,4.0617512791180514,34.96717357635498,500,8,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth12,438,0.718598993902864,4.065542061324679,38.43398118019104,500,12,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth_none,438,0.7164430190350609,4.0606822694413065,39.637725830078125,500,-1,0.05,31,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves15,438,0.7254778719159815,4.105811430163793,23.101011753082275,500,6,0.05,15,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves63,438,0.724171349893462,4.1186598152998934,34.219971656799316,500,6,0.05,63,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves127,438,0.724171349893462,4.1186598152998934,34.4421706199646,500,6,0.05,127,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves255,438,0.724171349893462,4.1186598152998934,34.60191488265991,500,6,0.05,255,20,0.1,0.85,0.85,
1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,lr0.01,438,0.7176269172379947,4.318193960421205,32.686872720718384,500,6,0.01,31,20,0.1,0.85,0.85,
