model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,feature_set,arch,activation,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.7856776714324951,0.922981858253479,2.826276980340481,6.178094074130058,8.172588970745949,0.94529789686203,0.8524097204208374,0.8476499319076538,0.9487775564193726,0.28382664918899536,0.8360896706581116,5.241156369447708,3.849582001566887,1.9675252959132195,5.289814993739128,0.2996143186464906,0.3099774243310094,100.0,100.0,100.0,1.0,6.314422762443428e-08,bands_indices_plain_relu_L3_d256_wd0.0005,0,bands_indices,plain,relu,3,256,0,0.15,0.0,0.001,0.0005,0.0,False,798,339206,163,0.406424,3.4
model,0.8090462684631348,0.9186800122261047,2.8812631964683533,6.301328539848328,7.950227333826345,0.9418106079101562,0.8422569632530212,0.8131683468818665,0.9496934413909912,0.4714341163635254,0.8358986973762512,5.238312855362892,3.803609311580658,2.3149054497480392,5.272950232028961,0.33889105543494225,0.31891276594251394,100.0,100.0,100.0,1.0,6.295023524671706e-08,bands_indices_residual_gelu_L4_d256,0,bands_indices,residual,gelu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,1260806,150,0.406221,5.1
model,0.7580204606056213,0.9187461733818054,2.867327816784382,6.375167518854141,8.131046764320251,0.940021812915802,0.8389707803726196,0.834462583065033,0.9512088894844055,0.16384464502334595,0.8196008801460266,5.287395417690277,3.9457976818084717,2.1103424951434135,5.216523632407188,0.3224455751478672,0.3214774886146188,100.0,100.0,100.0,1.0,6.318571621477531e-08,bands_indices_residual_gelu_L6_d256,0,bands_indices,residual,gelu,6,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,1787654,105,0.411513,4.6
model,0.7910745143890381,0.9232776761054993,2.829568274319172,6.168583035469055,8.086542415933213,0.9461613893508911,0.8508718609809875,0.862088680267334,0.9469956755638123,0.33215969800949097,0.8081557750701904,5.10919876396656,3.9086751639842987,2.006181702017784,5.324720591306686,0.28411082457751036,0.3445301903411746,100.0,100.0,100.0,1.0,6.356709292276719e-08,bands_indices_residual_gelu_L8_d256,0,bands_indices,residual,gelu,8,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,2314502,138,0.407043,7.7
model,0.7763141989707947,0.9149752855300903,2.9998889192938805,6.485281139612198,8.44321494061898,0.9387020468711853,0.8375718593597412,0.8005450963973999,0.9491725564002991,0.30958443880081177,0.8222954273223877,5.516208708286285,3.992408886551857,2.4389490485191345,5.3706094622612,0.3480470273643732,0.3331133397296071,100.0,100.0,100.0,1.0,6.234595417708988e-08,bands_indices_residual_gelu_L10_d256,0,bands_indices,residual,gelu,10,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,2841350,78,0.41336,4.9
model,0.808539867401123,0.9273501038551331,2.6869596913456917,5.986529588699341,7.797143118144416,0.9457494020462036,0.8577203154563904,0.8593312501907349,0.9536590576171875,0.39186280965805054,0.8429033756256104,4.983658716082573,3.6934152245521545,1.9036788493394852,4.958001896739006,0.2651059767231345,0.31788700725883245,100.0,100.0,100.0,1.0,6.25790619324107e-08,bands_indices_residual_gelu_L12_d256,0,bands_indices,residual,gelu,12,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,3368198,165,0.405063,12.3
model,0.7815439105033875,0.9199740290641785,2.8608888387680054,6.294787675142288,8.014546074298107,0.9410330057144165,0.8446452617645264,0.845149040222168,0.948337733745575,0.2853342890739441,0.8247508406639099,5.280998721718788,3.827618435025215,2.175065129995346,5.268587172031403,0.29552902560681105,0.31753601506352425,100.0,100.0,100.0,1.0,6.301495858451744e-08,bands_indices_residual_silu_L4_d256,0,bands_indices,residual,silu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,1260806,159,0.40744,5.5
model,0.7508911490440369,0.915097177028656,2.9871271923184395,6.5196022391319275,8.37510761253191,0.941633403301239,0.8362897038459778,0.7980750203132629,0.9494187831878662,0.16561359167099,0.8143028616905212,5.347368493676186,3.999655321240425,2.471826784312725,5.423688888549805,0.3527541644871235,0.3274592338129878,100.0,100.0,100.0,1.0,6.27417193754809e-08,bands_indices_residual_silu_L6_d256,0,bands_indices,residual,silu,6,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,1787654,102,0.412209,4.5
model,0.7934563159942627,0.9236637949943542,2.864368259906769,6.154519692063332,7.9783814755061355,0.9394216537475586,0.8576859831809998,0.8597385287284851,0.9515637755393982,0.3405745029449463,0.8117413520812988,5.4548900574445724,3.7551000714302063,1.9445542246103287,5.420389771461487,0.304490327835083,0.30678920447826385,100.0,100.0,100.0,1.0,6.23132550003902e-08,bands_indices_residual_silu_L8_d256,0,bands_indices,residual,silu,8,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,2314502,172,0.406461,9.3
model,0.779404878616333,0.9158986210823059,2.9785437509417534,6.442993879318237,8.473586297231522,0.9419512748718262,0.8346812129020691,0.8026077151298523,0.9487993717193604,0.31712496280670166,0.8312515616416931,5.505591258406639,4.0238965302705765,2.3654108867049217,5.311903730034828,0.3390677971765399,0.32539437524974346,100.0,100.0,100.0,1.0,6.266276386668324e-08,bands_indices_residual_silu_L10_d256,0,bands_indices,residual,silu,10,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,2841350,78,0.414699,5.8
model,0.7584154009819031,0.9153215885162354,3.046737052500248,6.522536277770996,8.584797285188309,0.9383121728897095,0.84257972240448,0.8169747591018677,0.9479167461395264,0.22963976860046387,0.7750558853149414,5.560678988695145,3.96309457719326,2.3614436388015747,5.624964088201523,0.3713793121278286,0.3988659009337425,100.0,100.0,100.0,1.0,6.192415469286061e-08,bands_indices_residual_silu_L12_d256,0,bands_indices,residual,silu,12,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,3368198,81,0.414538,6.2
model,0.799513041973114,0.9198687672615051,2.8213990852236748,6.271207332611084,7.880130210645544,0.9437237977981567,0.8445996642112732,0.8180644512176514,0.9496699571609497,0.3988742232322693,0.8421314358711243,5.162364989519119,3.7517867982387543,2.2124523296952248,5.183533579111099,0.31714211218059063,0.30111270025372505,100.0,100.0,100.0,1.0,6.3010340056735e-08,bands_indices_residual_relu_L4_d256,0,bands_indices,residual,relu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,798,1260806,150,0.406034,5.1
