model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.8300431370735168,0.9252605438232422,2.716362662613392,6.03259950876236,7.499693911236243,0.9431667327880859,0.8571274876594543,0.8380376100540161,0.9538906216621399,0.5445312261581421,0.843491792678833,5.167069286108017,3.7924960255622864,1.9047586247324944,4.8928942531347275,0.2604012144729495,0.28055491857230663,100.0,100.0,100.0,1.0,6.927115947519269e-08,bi_glcm_morph_v2_plain_silu_L5_d1024_bn,0,v7,bi_glcm_morph_v2,plain,silu,batchnorm,5,1024,wide,0.001,1173,774,110.3
model,0.8437713980674744,0.9290290474891663,2.6422932744026184,5.871735513210297,7.582529845527868,0.9449595212936401,0.8602603673934937,0.8539884090423584,0.9568093419075012,0.605394721031189,0.8412009477615356,4.993690550327301,3.6865688860416412,1.8306249752640724,4.789328575134277,0.26898784562945366,0.2845542272552848,100.0,100.0,100.0,1.0,6.965683496673591e-08,bi_glcm_morph_v2_plain_silu_L5_d512_bn,0,v7,bi_glcm_morph_v2,plain,silu,batchnorm,5,512,v5_champion,0.001,1173,761,106.1
model,0.7921679615974426,0.9234251379966736,2.755661867558956,6.176620349287987,7.697998622287006,0.9429762959480286,0.8598974943161011,0.8525769114494324,0.9492847919464111,0.3502800464630127,0.7979801297187805,5.2335284650325775,3.580668941140175,1.8907632678747177,5.183722451329231,0.3090696409344673,0.33621860202401876,100.0,100.0,100.0,1.0,6.89593662173138e-08,bi_glcm_morph_v2_residual_silu_L10_d256_nonorm,0,v7,bi_glcm_morph_v2,residual,silu,none,10,256,v5_champion,0.001,1173,617,160.5
model,0.7844817638397217,0.9273194670677185,2.664787322282791,6.0303982347249985,7.655007752319681,0.9459547996520996,0.8642323613166809,0.8663897514343262,0.95198655128479,0.25714176893234253,0.8211754560470581,5.0370823591947556,3.5713106393814087,1.7597906291484833,4.986487701535225,0.32013654708862305,0.3139154287055135,100.0,100.0,100.0,1.0,6.932158669314958e-08,bi_glcm_morph_v2_residual_silu_L12_d256_bn,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,12,256,deep,0.001,1173,744,296.6
model,0.8115242123603821,0.9284785985946655,2.6619600132107735,5.954882130026817,8.243051973252618,0.9471438527107239,0.8644440174102783,0.865210235118866,0.9526526927947998,0.42123377323150635,0.8184500336647034,4.982031136751175,3.5617880523204803,1.821397803723812,4.905871674418449,0.3250099020078778,0.37566053215414286,100.0,100.0,100.0,1.0,6.895092496961297e-08,bi_glcm_morph_v2_residual_silu_L16_d256_bn_lr0.0005,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,16,256,deep,0.0005,1173,716,350.9
model,0.8144132494926453,0.9318011403083801,2.629176527261734,5.826368555426598,8.236787390391221,0.9480018615722656,0.871826171875,0.8648155927658081,0.9572453498840332,0.4134178161621094,0.8311622738838196,4.941564425826073,3.6049526184797287,1.826235093176365,4.749900847673416,0.30415430665016174,0.3482590429484844,100.0,100.0,100.0,1.0,6.901002080894614e-08,bi_glcm_morph_v2_residual_silu_L20_d256_bn_lr0.0005,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,20,256,deep,0.0005,1173,829,493.1
model,0.8107207417488098,0.927582323551178,2.6165619492530823,5.988304689526558,8.013099270353726,0.9478210806846619,0.8642354011535645,0.8418983817100525,0.9539998173713684,0.4202001094818115,0.8361598253250122,4.920069128274918,3.5518482327461243,1.7772043123841286,4.834552854299545,0.29703746549785137,0.3186593996360898,100.0,100.0,100.0,1.0,7.011934854972424e-08,bi_glcm_morph_v2_plain_silu_L5_d2048_bn_lr0.0005,0,v7,bi_glcm_morph_v2,plain,silu,batchnorm,5,2048,wide,0.0005,1173,672,109.3
model,0.7906747460365295,0.9166615605354309,2.901851385831833,6.3939303159713745,7.804072175870801,0.9362420439720154,0.8453975915908813,0.8224010467529297,0.9476927518844604,0.35701024532318115,0.8352916240692139,5.48570342361927,3.9545997977256775,2.1080559119582176,5.226407572627068,0.3409387543797493,0.2954143099486828,100.0,100.0,100.0,1.0,7.021480286084625e-08,bi_glcm_morph_v2_residual_silu_L10_d1024_bn_lr0.0005,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1173,860,324.2
model,0.7721691131591797,0.924693763256073,2.680366486310959,6.151698902249336,7.75446295077491,0.9465285539627075,0.851986289024353,0.8275558948516846,0.9565711617469788,0.22125613689422607,0.8291046619415283,4.984082281589508,3.781142458319664,1.9471418112516403,4.774630814790726,0.257929228246212,0.3372608218342066,100.0,100.0,100.0,1.0,7.031840709714743e-08,bi_glcm_morph_v2_residual_silu_L11_d1024_bn_lr0.0005,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1173,940,387.9
model,0.7802472114562988,0.9267411231994629,2.68878061324358,6.076325476169586,8.47602889699667,0.9474504590034485,0.863601565361023,0.8285377621650696,0.95695561170578,0.2651900053024292,0.8197377920150757,4.996573179960251,3.5953089594841003,1.9649473950266838,4.870429262518883,0.33294104505330324,0.372477900236845,100.0,100.0,100.0,1.0,6.972786792402985e-08,bi_glcm_morph_v2_residual_silu_L12_d1024_bn_lr0.0005,0,v7,bi_glcm_morph_v2,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1173,713,320.4
model,0.7429599761962891,0.9109503030776978,3.4561846405267715,7.248544692993164,7.938265110857884,0.9283319115638733,0.7787386178970337,0.912329912185669,0.9609294533729553,0.013156890869140625,0.864179790019989,5.722373351454735,6.240163743495941,4.419633001089096,3.7489358335733414,0.16440156614407897,0.44161477126181126,100.0,100.0,100.0,1.0,7.063842133447906e-08,bi_glcm_morph_v2_plain_silu_L5_d1024_bn,1,v7,bi_glcm_morph_v2,plain,silu,batchnorm,5,1024,wide,0.001,1173,646,98.3
model,0.730516254901886,0.9155478477478027,3.4827832132577896,7.163453102111816,8.971805321605379,0.9344048500061035,0.801262617111206,0.916863739490509,0.9585039615631104,-0.03819549083709717,0.8101840019226074,5.523615702986717,5.965371802449226,4.5175701379776,4.058359190821648,0.2459302544593811,0.5858757067471743,100.0,100.0,100.0,1.0,7.067194474075222e-08,bi_glcm_morph_v2_plain_silu_L5_d512_bn,1,v7,bi_glcm_morph_v2,plain,silu,batchnorm,5,512,v5_champion,0.001,1173,568,87.9
model,0.7595685124397278,0.9211797714233398,3.3803358674049377,6.884698569774628,8.15026537244625,0.9316056370735168,0.819534182548523,0.9253342747688293,0.960680365562439,0.05715459585189819,0.8630280494689941,5.539601296186447,5.833074450492859,4.411714524030685,3.8922637701034546,0.15695772599428892,0.4484142176806927,100.0,100.0,100.0,1.0,7.014211433897799e-08,bi_glcm_morph_v2_residual_silu_L10_d256_nonorm,1,v7,bi_glcm_morph_v2,residual,silu,none,10,256,v5_champion,0.001,1173,565,163.0
model,0.7434794306755066,0.9112898111343384,3.544129803776741,7.263900339603424,8.253584604284947,0.9310177564620972,0.7851275205612183,0.9107925891876221,0.9588118195533752,0.027018070220947266,0.8480215072631836,5.754880607128143,6.150787323713303,4.639650881290436,4.001867771148682,0.19426028011366725,0.5233413074165583,100.0,100.0,100.0,1.0,6.854101997078033e-08,bi_glcm_morph_v2_residual_silu_L12_d256_bn,1,v7,bi_glcm_morph_v2,residual,silu,batchnorm,12,256,deep,0.001,1173,662,290.3
