fold,group,n_features,r2,mae,time
0,Vis bands (B02-04),144,0.6184245209861797,4.251057685265916,20.75807785987854
0,NIR band (B08),48,0.5721097459325465,6.0686946407954405,9.49809980392456
0,"Red-edge (B05-07,8A)",192,0.732750057603742,3.6014523601327646,20.68460702896118
0,SWIR (B11-12),96,0.6961709260344416,4.594175532488349,11.457556962966919
0,Veg idx,120,0.7412583034169237,3.3592947537588063,13.619714498519897
0,Urban idx,60,0.5809038567500763,4.757619911346639,10.512292623519897
0,Water idx,90,0.698713578317803,3.9248532038003785,10.47588038444519
0,Tasseled Cap,36,0.7311582375880885,4.777868198520645,7.873342990875244
0,Spatial,48,0.42478549350037165,8.457391263490925,7.7593512535095215
0,RedEdge+WaterIdx,282,0.7769173946480855,3.2968521974532767,40.54922294616699
0,RedEdge+TC,228,0.7796362272078503,3.3667907826613073,34.115649938583374
0,RedEdge+WaterIdx+TC,318,0.7841407417528156,3.2020082868384376,44.22418928146362
0,RedEdge+VegIdx+TC,348,0.7900243152221532,3.1116187898844574,42.12578749656677
0,Vis+SWIR,240,0.7720092136846647,3.6720295489551122,37.373910665512085
0,Vis+NIR+RedEdge,384,0.7706139093153394,3.3677278399210477,46.972739696502686
0,All bands,480,0.7889412461401811,3.307468457000374,59.21583604812622
0,All indices,270,0.7446047640848188,3.312246927301959,43.24257469177246
0,Bands+indices,750,0.7891355156121235,3.101896689955907,82.12127709388733
0,Bands+idx+TC,786,0.7975519435192945,3.0708525440755476,83.37167930603027
1,Vis bands (B02-04),144,0.7027481407507533,4.665871236225724,17.06020164489746
1,NIR band (B08),48,0.541551721734764,7.661632428596449,10.142693996429443
1,"Red-edge (B05-07,8A)",192,0.6745518207960831,4.996622718005395,19.838741779327393
1,SWIR (B11-12),96,0.6904787628390513,5.122414418568702,12.671261072158813
1,Veg idx,120,0.720915818242414,4.5172743143508685,14.470216274261475
1,Urban idx,60,0.5820918689243514,6.175003624294858,11.114405393600464
1,Water idx,90,0.6350587848364256,5.38512459493699,12.833879709243774
1,Tasseled Cap,36,0.6649068338689506,5.127019737907929,9.50765872001648
1,Spatial,48,0.34584373805286933,9.810133955021245,9.776757001876831
