version,model_type,config,feature_set,n_features,fold,r2_uniform,mae_mean_pp
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8246801286006947,3.0331464083137387
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8236666104054441,3.0336364358414065
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.823362057829887,3.0330038931586074
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8227027821541891,3.027047087987369
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.821336767614124,3.01042927334831
LGBM,LightGBM,ss1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8239782411676142,3.037682516850164
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8267274743549803,3.0006658375019915
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8239702526646678,3.0187488109239458
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8206408611083039,3.0500817983810022
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8212039993792318,3.044156856773105
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8037872425951674,3.08152891744443
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.7899443543493011,3.1190906472207667
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8257543622947905,2.9843788839085907
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.8092773567229625,2.9658459648493123
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.827638241617799,3.0578595164414124
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC+NDTI+CRI1,408,0,0.82972108131237,2.9604215454079483
LGBM,LightGBM,base,VegIdx+RedEdge+TC,348,0,0.8077771821163645,3.0534405221865413
LGBM,LightGBM,n200,VegIdx+RedEdge+TC,348,0,0.7989331754687242,3.108048803599659
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC,348,0,0.8100463415023244,3.042404723610963
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC,348,0,0.8103527243855781,3.044438269727125
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC,348,0,0.8015557378023913,3.159482909847005
LGBM,LightGBM,depth8,VegIdx+RedEdge+TC,348,0,0.8127234772171684,3.035950973172968
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC,348,0,0.8119272466692212,3.0355996215470986
LGBM,LightGBM,depth_none,VegIdx+RedEdge+TC,348,0,0.8156699229949075,3.039958833751132
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC,348,0,0.805457004555106,3.127015284482357
LGBM,LightGBM,leaves63,VegIdx+RedEdge+TC,348,0,0.8081695733902915,3.040053630070377
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC,348,0,0.8081695733902915,3.040053630070377
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC,348,0,0.8081695733902915,3.040053630070377
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC,348,0,0.7899229315227112,3.267009671006623
