name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_texture_residual_gelu_L6_d256_exp4,0.43971171975135803,,5.908990278840065,,9.611090464737584,,1,2.0,0.4,1368.0,3508998.0,bands_indices_texture,residual,gelu,layernorm
bands_indices_texture_residual_relu_L12_d128,0.43962016701698303,,5.1237598061561584,,10.057526049559627,,1,2.0,0.6,1368.0,970374.0,bands_indices_texture,residual,relu,layernorm
full_no_deltas_residual_gelu_L8_d256_do0.1,0.4396178424358368,,5.6205738335847855,,9.873060627299783,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,gelu,layernorm
bands_indices_hog_plain_relu_L3_d256,0.43915796279907227,,5.986965075135231,,10.429844622071267,,1,2.0,0.2,1002.0,391430.0,bands_indices_hog,plain,relu,layernorm
bands_indices_glcm_lbp_plain_gelu_L5_d256,0.4389338195323944,,5.215929821133614,,9.883843603059058,,1,2.0,0.2,924.0,504070.0,bands_indices_glcm_lbp,plain,gelu,layernorm
bands_indices_texture_residual_gelu_L6_d128,0.4386223554611206,,5.786389112472534,,10.688244604558742,,1,2.0,0.4,1368.0,573318.0,bands_indices_texture,residual,gelu,layernorm
bands_indices_texture_residual_relu_L4_d256_nonorm,0.43843749165534973,,5.78898973762989,,8.991224509959734,,1,2.0,0.2,1368.0,1403654.0,bands_indices_texture,residual,relu,none
bands_indices_hog_residual_gelu_L6_d256_nonorm,0.4372910261154175,,5.677130818367004,,10.080055420852954,,1,2.0,0.3,1002.0,1835782.0,bands_indices_hog,residual,gelu,none
bands_indices_glcm_lbp_residual_relu_L6_d256,0.4371134340763092,,4.834373667836189,,9.265542029559956,,1,2.0,0.3,924.0,1819398.0,bands_indices_glcm_lbp,residual,relu,layernorm
bands_indices_hog_residual_mish_L8_d256,0.43652692437171936,,5.716691538691521,,9.856034260346732,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,mish,layernorm
bands_indices_hog_residual_relu_L6_d128,0.43644657731056213,,5.358865484595299,,10.066401338979018,,1,2.0,0.4,1002.0,526470.0,bands_indices_hog,residual,relu,layernorm
bands_indices_hog_residual_silu_L10_d256,0.43634462356567383,,5.8963969349861145,,10.002573404552932,,1,2.0,0.5,1002.0,2893062.0,bands_indices_hog,residual,silu,layernorm
bands_indices_texture_plain_relu_L3_d256,0.43622827529907227,,5.066512897610664,,10.129175937932999,,1,2.0,0.2,1368.0,485126.0,bands_indices_texture,plain,relu,layernorm
bands_indices_glcm_lbp_residual_relu_L8_d256_do0.25,0.4362087547779083,,4.887599870562553,,9.333505068790458,,1,2.0,0.4,924.0,2346246.0,bands_indices_glcm_lbp,residual,relu,layernorm
bands_indices_hog_residual_gelu_L6_d256_exp4,0.43604576587677,,5.9003714472055435,,9.738730815692108,,1,2.0,0.3,1002.0,3415302.0,bands_indices_hog,residual,gelu,layernorm
full_no_deltas_plain_relu_L5_d512,0.4357652962207794,,6.685494631528854,,9.680976576004118,,1,2.0,0.2,1428.0,1790470.0,full_no_deltas,plain,relu,layernorm
bands_indices_residual_relu_L10_d256_lr0.0005,0.43568408489227295,,5.049662664532661,,9.270820703118606,,1,2.0,0.5,798.0,2840838.0,bands_indices,residual,relu,layernorm
bands_indices_residual_mish_L6_d128,0.4351550340652466,,6.21316097676754,,10.856956016700122,,1,2.0,0.4,798.0,500358.0,bands_indices,residual,mish,layernorm
bands_indices_hog_residual_gelu_L8_d256_do0.1,0.43474021553993225,,5.772674456238747,,9.728387022871258,,1,2.0,0.4,1002.0,2366214.0,bands_indices_hog,residual,gelu,layernorm
bands_indices_texture_residual_mish_L4_d256_nonorm,0.4346220791339874,,5.2671510726213455,,10.551889827516971,,1,2.0,0.2,1368.0,1403654.0,bands_indices_texture,residual,mish,none
bands_indices_texture_residual_gelu_L12_d128,0.43446969985961914,,5.370835587382317,,10.186222828278451,,1,2.0,0.7,1368.0,970374.0,bands_indices_texture,residual,gelu,layernorm
bands_indices_texture_residual_relu_L4_d256,0.43422022461891174,,5.233882740139961,,9.20622697846242,,1,2.0,0.3,1368.0,1406214.0,bands_indices_texture,residual,relu,layernorm
bands_indices_hog_residual_relu_L6_d256,0.4339728057384491,,4.9470677971839905,,9.305742762561819,,1,2.0,0.3,1002.0,1839366.0,bands_indices_hog,residual,relu,layernorm
full_no_deltas_residual_silu_L4_d256_nonorm,0.43392109870910645,,5.855463072657585,,10.485052853981292,,1,2.0,0.2,1428.0,1419014.0,full_no_deltas,residual,silu,none
bands_indices_texture_residual_silu_L4_d512_nonorm_lr0.0005,0.43376973271369934,,6.224248930811882,,10.151333907950942,,1,2.0,0.2,1368.0,4904454.0,bands_indices_texture,residual,silu,none
bands_indices_texture_residual_relu_L12_d256,0.4334605634212494,,5.1138389855623245,,9.612003502841132,,1,2.0,0.7,1368.0,3513606.0,bands_indices_texture,residual,relu,layernorm
bands_indices_glcm_lbp_residual_silu_L12_d128,0.43330371379852295,,5.573734268546104,,10.587423645188322,,1,2.0,0.5,924.0,913542.0,bands_indices_glcm_lbp,residual,silu,layernorm
all_full_plain_mish_L3_d512_nonorm,0.43325766921043396,,4.971958324313164,,9.044811680961894,,1,2.0,0.1,3534.0,2338310.0,all_full,plain,mish,none
bands_indices_hog_residual_gelu_L4_d512_lr0.0005,0.4325782358646393,,5.851166322827339,,8.360704472378616,,1,2.0,0.3,1002.0,4722182.0,bands_indices_hog,residual,gelu,layernorm
bands_indices_hog_residual_gelu_L8_d256_exp4,0.4324909746646881,,6.029638275504112,,9.834373378504667,,1,2.0,0.4,1002.0,4467462.0,bands_indices_hog,residual,gelu,layernorm
full_no_deltas_residual_gelu_L4_d512_lr0.0005,0.4322844445705414,,5.858681723475456,,8.416829780568818,,1,2.0,0.3,1428.0,4940294.0,full_no_deltas,residual,gelu,layernorm
bands_indices_hog_residual_gelu_L10_d256_lr0.0005,0.43182477355003357,,5.853958427906036,,9.660179423236741,,1,2.0,0.4,1002.0,2893062.0,bands_indices_hog,residual,gelu,layernorm
bands_indices_texture_residual_gelu_L8_d256_nonorm,0.4312168061733246,,6.313062459230423,,9.97919211929664,,1,2.0,0.3,1368.0,2455302.0,bands_indices_texture,residual,gelu,none
bands_indices_hog_residual_relu_L12_d128,0.4311559200286865,,5.439874902367592,,10.177394699700665,,1,2.0,0.5,1002.0,923526.0,bands_indices_hog,residual,relu,layernorm
bands_indices_texture_plain_relu_L5_d512,0.4310111999511719,,7.964906841516495,,9.685625429558053,,1,2.0,0.2,1368.0,1759750.0,bands_indices_texture,plain,relu,layernorm
bands_indices_texture_residual_gelu_L8_d256_mix0.2,0.430049329996109,,6.909576803445816,,10.096154082649917,,1,2.0,0.4,1368.0,2459910.0,bands_indices_texture,residual,gelu,layernorm
bands_indices_glcm_lbp_residual_relu_L10_d256,0.42995867133140564,,5.092043802142143,,9.972333598601455,,1,2.0,0.4,924.0,2873094.0,bands_indices_glcm_lbp,residual,relu,layernorm
bands_indices_hog_plain_gelu_L3_d256,0.42980608344078064,,6.1354756355285645,,10.51020762663221,,1,2.0,0.2,1002.0,391430.0,bands_indices_hog,plain,gelu,layernorm
full_no_deltas_residual_mish_L8_d256,0.4296833574771881,,6.016867235302925,,10.09631424024799,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,mish,layernorm
bands_indices_residual_relu_L12_d128_nonorm,0.429464191198349,,5.481177940964699,,10.216908343385171,,1,2.0,0.5,798.0,894086.0,bands_indices,residual,relu,none
full_no_deltas_residual_gelu_L8_d256,0.4294517934322357,,5.712223052978516,,9.789808670013933,,1,2.0,0.4,1428.0,2475270.0,full_no_deltas,residual,gelu,layernorm
bands_indices_glcm_lbp_residual_gelu_L12_d128,0.4288614094257355,,5.461537465453148,,10.369932085496842,,1,2.0,0.5,924.0,913542.0,bands_indices_glcm_lbp,residual,gelu,layernorm
bands_indices_texture_residual_relu_L6_d256,0.4288043975830078,,5.041169002652168,,9.410771504606187,,1,2.0,0.4,1368.0,1933062.0,bands_indices_texture,residual,relu,layernorm
all_full_residual_silu_L6_d256_nonorm,0.42876723408699036,,5.889778211712837,,9.50764334357432,,1,2.0,0.3,3534.0,2483974.0,all_full,residual,silu,none
bands_indices_residual_silu_L6_d128,0.428684800863266,,6.471910327672958,,10.955791761734964,,1,2.0,0.4,798.0,500358.0,bands_indices,residual,silu,layernorm
full_no_deltas_residual_mish_L12_d128,0.428284615278244,,5.442941561341286,,10.387248617598786,,1,2.0,0.5,1428.0,978054.0,full_no_deltas,residual,mish,layernorm
bands_indices_texture_residual_silu_L12_d128,0.42808881402015686,,5.5426303297281265,,10.463717035472179,,1,2.0,0.6,1368.0,970374.0,bands_indices_texture,residual,silu,layernorm
