model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,section,activation,n_layers,hidden_dim,dropout,lr,weight_decay,l1_lambda,feature_set,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.7602643916013071,0.9169636429230611,2.794336476583803,6.4404156252456115,7.620991550856417,0.9401553557751859,0.8411859516466473,0.8175025960112338,0.9494085307680519,0.19654811046618148,0.8167858049405027,5.27548143749121,3.6938975319116865,1.9668454597704932,5.242930876148794,0.28093350394432803,0.3059300502363057,100.0,100.0,100.0,1.0,7.311607674864717e-08,arch_gelu_L5_h256,architecture,gelu,5,256,0.15,0.001,0.0001,0.0,all,2109,807430,49,0.06044,56.9
model,0.7605121596704437,0.9167653412182135,2.7725745584581936,6.4543721451012654,7.695438674807825,0.9430631808707354,0.8413264378875605,0.7955510839790082,0.9507945418217343,0.220070912614721,0.8122668008488619,5.10403452491533,3.791737614560544,2.041705087188299,5.091382718780596,0.2886023165141594,0.31798508879023574,100.0,100.0,100.0,1.0,7.347761510345663e-08,arch_gelu_L5_h512,architecture,gelu,5,512,0.15,0.001,0.0001,0.0,all,2109,2139142,40,0.060075,84.3
model,0.7673711433473359,0.9160279353723925,2.757737937604577,6.4515570186496545,7.671899700851135,0.9428729730277489,0.8429317813615406,0.8036129400113701,0.9463011135145554,0.23402927688418007,0.8344787752845774,5.041816301442268,3.693562629907886,2.0427501082018935,5.164430217231413,0.29428716638144264,0.3095812024625584,100.0,100.0,100.0,1.0,7.311209060389956e-08,arch_silu_L2_h128,architecture,silu,2,128,0.15,0.001,0.0001,0.0,all,2109,287878,70,0.059399,36.3
model,0.7572028132277859,0.9160034747459526,2.786042156083873,6.479374341714444,7.893380894602315,0.9424644720604861,0.8405581178892627,0.7982385009968191,0.9492098888249035,0.19473445890464425,0.818011440690558,5.06269541541978,3.794416441309265,2.1546732720918365,5.113717341863552,0.26108220491200657,0.3296682609067986,100.0,100.0,100.0,1.0,7.37308241127721e-08,arch_silu_L2_h256,architecture,silu,2,256,0.15,0.001,0.0001,0.0,all,2109,608518,45,0.059696,33.3
model,0.7668393078257437,0.9131634905509775,2.7688415027703988,6.580319291119068,7.5522258115622485,0.9431835041698359,0.8390568229534233,0.7792069431831687,0.9462967672972121,0.30630160883978264,0.7869902005109949,5.004756761747617,3.67446118905441,2.172914770875208,5.143788337237803,0.2630156250654366,0.35411233264191655,100.0,100.0,100.0,1.0,7.433656890043494e-08,arch_silu_L2_h512,architecture,silu,2,512,0.15,0.001,0.0001,0.0,all,2109,1348102,43,0.060097,49.3
model,0.7648744434988554,0.9184674829623638,2.810466127722835,6.38995366210179,7.975370336305274,0.943288450525652,0.8476354714591735,0.8092849469728637,0.9500160149988367,0.22721209187596347,0.8118096851606018,5.208029421785124,3.7462239204673335,2.0560969390746293,5.214689651223617,0.29790452652350424,0.33985230726280025,100.0,100.0,100.0,1.0,7.211350094848967e-08,arch_silu_L3_h128,architecture,silu,3,128,0.15,0.001,0.0001,0.0,all,2109,304646,51,0.05988,32.0
model,0.7814062984875062,0.9182721151164317,2.7509636250113534,6.372729331277953,7.775564741569912,0.9436192117397875,0.844926219566682,0.8058634544190288,0.9498100983025711,0.3291906570962163,0.8150281498007117,5.0190695141623785,3.6907549997942297,2.0635805123262956,5.086362530603958,0.31164642274898624,0.33436777043227234,100.0,100.0,100.0,1.0,7.510045918479591e-08,arch_silu_L3_h256,architecture,silu,3,256,0.15,0.001,0.0001,0.0,all,2109,674822,43,0.060015,37.0
model,0.7684694013275181,0.9182093408113847,2.7688417655096385,6.388924108692819,7.7754194873761415,0.9431802646783127,0.8441551741535185,0.8169310879067186,0.9487853348876698,0.242039941399682,0.8157246049391688,5.069623270617307,3.792921858106325,2.0929164925172565,5.065044654472748,0.2810156508622812,0.31152866648191224,100.0,100.0,100.0,1.0,7.28487421497448e-08,arch_silu_L3_h512,architecture,silu,3,512,0.15,0.001,0.0001,0.0,all,2109,1611782,37,0.058023,55.0
model,0.7501213482630421,0.9182112122886021,2.7369005575996552,6.413578969760854,7.897806765630996,0.943301420941257,0.8470294100362512,0.820028661433649,0.9483299982296939,0.13154737896559465,0.8104912199717679,5.048513734139231,3.7139104372623986,1.9824805698829506,5.064323564292863,0.2893628680236794,0.32281217199680834,100.0,100.0,100.0,1.0,7.270869417652648e-08,arch_silu_L4_h128,architecture,silu,4,128,0.15,0.001,0.0001,0.0,all,2109,321414,54,0.060629,38.0
model,0.7543489305663109,0.9160034508202848,2.810259969583172,6.484125739368745,7.768548013427404,0.9404613462532836,0.8377375218795868,0.8190698859336702,0.948130426844319,0.17256788023105574,0.8081265222559124,5.214994190660708,3.7560652805477135,1.9718291678302091,5.249849449221252,0.33170194953419335,0.3371197797049527,100.0,100.0,100.0,1.0,7.321955308725592e-08,arch_silu_L4_h256,architecture,silu,4,256,0.15,0.001,0.0001,0.0,all,2109,741126,47,0.060784,47.5
model,0.7568154701807571,0.9166247326311611,2.7496172819798894,6.463802046807541,7.368776004734454,0.9434722697704179,0.8466316225339916,0.7887584161952755,0.9500373298101566,0.1989816394238696,0.8130115433507858,5.051035976552605,3.6183853778127917,2.1450080353114287,5.085260491026617,0.2911373792917663,0.30687643188413016,100.0,100.0,100.0,1.0,7.39674206329255e-08,arch_silu_L4_h512,architecture,silu,4,512,0.15,0.001,0.0001,0.0,all,2109,1875462,48,0.059705,88.2
model,0.7491011332467331,0.918777169054901,2.7602447971003166,6.390460654495582,8.038919807376114,0.9454579731569679,0.8501852435631139,0.8074174896913717,0.9491207504250933,0.12009498282200703,0.8223303598218027,4.9759482657813585,3.7656818700031818,2.1307246930353685,5.061153520138164,0.31165270363428627,0.31630773000954115,100.0,100.0,100.0,1.0,7.292065618003107e-08,arch_silu_L5_h128,architecture,silu,5,128,0.15,0.001,0.0001,0.0,all,2109,338182,51,0.059104,38.9
model,0.7641141548673301,0.9155448547889649,2.735391122390893,6.489956399384567,7.504320646238991,0.942302585147388,0.8404117451362977,0.7951215435433638,0.9486911473658717,0.2456926489560579,0.812465259054961,5.075370858566545,3.6762479052860253,2.0275200545787455,5.039667861510202,0.2805305242439179,0.313009530159923,100.0,100.0,100.0,1.0,7.316783268151994e-08,arch_silu_L5_h256,architecture,silu,5,256,0.15,0.001,0.0001,0.0,all,2109,807430,55,0.060988,63.1
model,0.7467622261573851,0.9162230210109482,2.7714757794972926,6.485330459629403,7.673223058262785,0.9431712966259611,0.8385415633088735,0.7996822840514589,0.9500382272309104,0.1328803249948859,0.8162596607321762,5.105396982231618,3.778536663827671,2.065875728678181,5.072201395411344,0.30384737096375797,0.3029965358711826,100.0,100.0,100.0,1.0,7.264058154987652e-08,arch_silu_L5_h512,architecture,silu,5,512,0.15,0.001,0.0001,0.0,all,2109,2139142,40,0.059556,83.8
model,0.7682308611827303,0.9236701798296356,2.6974036337869345,6.200631538834205,8.434981155359434,0.9483684355835761,0.858076614191916,0.825593796024716,0.9518394527792134,0.20963068152937114,0.8158761869875535,4.867162029445564,3.6036461867736715,2.02566595689485,4.958330730868988,0.34587106646513793,0.38374583227339853,100.0,100.0,100.0,1.0,7.272470980979051e-08,arch_relu_L2_h128,architecture,relu,2,128,0.15,0.001,0.0001,0.0,all,2109,287878,75,0.060464,41.6
model,0.763272438014955,0.9221607733963753,2.7338148006298244,6.254438099160879,8.121237412589975,0.9457732558517125,0.854060825840879,0.8126647594971742,0.9538614629680855,0.1847196278162726,0.8285546961155649,4.983581233890985,3.704592172229524,2.160226495001874,4.895566399723036,0.3269229605734426,0.3319995423600871,100.0,100.0,100.0,1.0,7.252422307146844e-08,arch_relu_L2_h256,architecture,relu,2,256,0.15,0.001,0.0001,0.0,all,2109,608518,70,0.056581,50.6
model,0.7871162916863348,0.9253160558172394,2.6438958244126805,6.114980875726692,7.861795751000693,0.9476323927043785,0.8587322058012048,0.8273765167232959,0.9546462709003114,0.3110051499434048,0.82330521404538,4.847047908641537,3.6001928531676284,2.0005178164312962,4.80831352447423,0.284942964567655,0.3223598791937362,100.0,100.0,100.0,1.0,7.340227625718398e-08,arch_relu_L2_h512,architecture,relu,2,512,0.15,0.001,0.0001,0.0,all,2109,1348102,80,0.055945,93.2
model,0.7737011201188219,0.9235282000387294,2.6744756424901404,6.1846782492693215,8.266515034270597,0.947665277050936,0.8516205778314336,0.8285769911305596,0.9525888422923181,0.22644138341584963,0.8353136489917978,4.857606253914715,3.642853878058468,2.028950346375346,4.861605737503262,0.3211600629282821,0.3346775761607712,100.0,100.0,100.0,1.0,7.452827333054302e-08,arch_relu_L3_h128,architecture,relu,3,128,0.15,0.001,0.0001,0.0,all,2109,304646,74,0.057741,47.3
model,0.8132135753686017,0.9272149351971447,2.6259277523395683,5.992759689718433,7.985304909722609,0.9483980723261872,0.8563591195746459,0.8415219136998442,0.9547342423054275,0.4358832516310909,0.8423848526743825,4.832285796600806,3.6249125965781768,1.8781242099025657,4.817559160176614,0.2874304749035576,0.3152542758756882,100.0,100.0,100.0,1.0,7.327521700517536e-08,arch_relu_L3_h256,architecture,relu,3,256,0.15,0.001,0.0001,0.0,all,2109,674822,80,0.057969,67.4
model,0.7680154548535661,0.9247265048252801,2.611486035952925,6.148963470241546,7.645060632387737,0.9490564378857803,0.8528702806723036,0.8139471364376651,0.9568082256004269,0.19439357427377058,0.8410170742514114,4.798058837222811,3.5732798105460315,1.9914438471533746,4.736024596939713,0.2791285641240469,0.2909805597315694,100.0,100.0,100.0,1.0,7.262053003387337e-08,arch_relu_L3_h512,architecture,relu,3,512,0.15,0.001,0.0001,0.0,all,2109,1611782,77,0.056133,117.4
model,0.8007054235977432,0.9301618525577391,2.6198309714721315,5.908396238630047,8.267501377470113,0.9512980283384529,0.8669126750597146,0.8477565711959733,0.9558888137943813,0.345351404041047,0.8370250491568607,4.770734872105983,3.5587180017395235,1.9102592655333002,4.830079530714728,0.31895908186820854,0.33023507687104314,100.0,100.0,100.0,1.0,7.266863377708432e-08,arch_relu_L4_h128,architecture,relu,4,128,0.15,0.001,0.0001,0.0,all,2109,321414,79,0.058134,56.9
model,0.8060809942435182,0.9272997772736936,2.605699095117064,6.013518317400666,7.775425124063551,0.9484828513180867,0.8598656300267226,0.8371019408574878,0.9554565913185542,0.409049354465852,0.8265295974743718,4.8281396205665,3.5210279920378915,1.9093330242593034,4.785190616029732,0.2722840611386197,0.31821925667033957,100.0,100.0,100.0,1.0,7.353703779244825e-08,arch_relu_L4_h256,architecture,relu,4,256,0.15,0.001,0.0001,0.0,all,2109,741126,87,0.055463,86.3
model,0.7951982641925631,0.9271412230769815,2.601968545564086,6.025833975847062,8.0128296236185,0.9495590476192208,0.8558826732014417,0.8381972321057312,0.9554006960346142,0.33408097807438764,0.8380689581199512,4.770176125663776,3.5373418281275777,1.9197261345896877,4.765794373102362,0.3117371707621864,0.3070356411389274,100.0,100.0,100.0,1.0,7.31718117208402e-08,arch_relu_L4_h512,architecture,relu,4,512,0.15,0.001,0.0001,0.0,all,2109,1875462,68,0.056743,124.0
model,0.7916385787619018,0.9275508407643233,2.617495574420949,6.0125526774451545,8.271769032923324,0.9500133141465531,0.8640670359980953,0.8394592796473425,0.9534725577891092,0.3010205579626043,0.8417987270276723,4.793936562953494,3.5375842267343853,1.877325192205061,4.850876160636267,0.32124098067813106,0.32401032331836177,100.0,100.0,100.0,1.0,7.319170691744148e-08,arch_relu_L5_h128,architecture,relu,5,128,0.15,0.001,0.0001,0.0,all,2109,338182,76,0.058759,59.5
model,0.8145938963240869,0.9284646135440605,2.6084201194727203,5.948746395287348,8.136067161121202,0.9498479422245628,0.8604606994698049,0.8412207077211167,0.955385512615745,0.4408916320291342,0.8397568838841263,4.7865585195987705,3.542973381587079,1.9048614140098281,4.803819639400032,0.2968039317772205,0.315503830463386,100.0,100.0,100.0,1.0,7.348157993192217e-08,arch_relu_L5_h256,architecture,relu,5,256,0.15,0.001,0.0001,0.0,all,2109,807430,82,0.057331,93.1
model,0.7842187104658045,0.9275386774454294,2.5669531594139565,6.025916469021625,7.696753429241429,0.9499536099888977,0.8579629250953004,0.8383174453820702,0.9559198701291899,0.26430339570141836,0.8388550164979167,4.724763145012046,3.5217079354219187,1.873063603313521,4.72063274410704,0.27115220609607976,0.29039932253313444,100.0,100.0,100.0,1.0,7.302840288048174e-08,arch_relu_L5_h512,architecture,relu,5,512,0.15,0.001,0.0001,0.0,all,2109,2139142,81,0.056755,171.5
model,0.764353688558773,0.9162238541174784,2.759045620495592,6.449630972135377,7.6746733382567065,0.9432938985070027,0.842219312022568,0.8045354943919945,0.9466397534068866,0.21614472130311757,0.8332889517210278,5.054337452479722,3.7033600213713935,2.038311879655311,5.157235725724842,0.2919855528425018,0.30904309089978377,100.0,100.0,100.0,1.0,7.36201499762501e-08,arch_mish_L2_h128,architecture,mish,2,128,0.15,0.001,0.0001,0.0,all,2109,287878,70,0.059027,40.9
model,0.7523865804701934,0.9151297324288297,2.8123614078799415,6.520255202442151,7.881816773292268,0.9429882528354211,0.8427757410850214,0.7894251408306525,0.9481874595341949,0.1806332491665209,0.8103096393693049,5.082586381101568,3.798409569100542,2.1933912238553614,5.195923587915771,0.2712370375464694,0.3326206477599357,100.0,100.0,100.0,1.0,7.336656437928468e-08,arch_mish_L2_h256,architecture,mish,2,256,0.15,0.001,0.0001,0.0,all,2109,608518,45,0.060127,33.8
model,0.7725210832500027,0.9148035202971707,2.769868259967607,6.515560186227638,7.546496397513543,0.9431444138756397,0.8410459043668983,0.7883854304746081,0.9474689135522483,0.32274905253429265,0.7923327846962847,5.071537206667987,3.643460532009262,2.1106857449429963,5.178418583591487,0.26485042251580054,0.3502570700781119,100.0,100.0,100.0,1.0,7.259646395141317e-08,arch_mish_L2_h512,architecture,mish,2,512,0.15,0.001,0.0001,0.0,all,2109,1348102,43,0.059943,50.9
model,0.757888929123828,0.9179487681919783,2.821304317993142,6.414096750685423,7.973647184414958,0.9419159885557072,0.8477206903248733,0.8117728077850404,0.9496920412944054,0.18223131786217472,0.8140007289207274,5.277994948786816,3.751700878608018,2.0012932399387386,5.2654727065475795,0.29565065118062134,0.3357134828970778,100.0,100.0,100.0,1.0,7.209330732393937e-08,arch_mish_L3_h128,architecture,mish,3,128,0.15,0.001,0.0001,0.0,all,2109,304646,51,0.059857,33.8
model,0.7607638468346045,0.9172583987381928,2.7641361148496637,6.430568564303877,7.595953135855826,0.9437259428092267,0.8444740156832938,0.8005268490136568,0.9493352102585387,0.2055396862291845,0.8209813770136837,5.088466770810287,3.6966584321090803,2.047061868810762,5.146384334834082,0.2961795621112992,0.3100657204224736,100.0,100.0,100.0,1.0,7.393197876126578e-08,arch_mish_L3_h256,architecture,mish,3,256,0.15,0.001,0.0001,0.0,all,2109,674822,53,0.059357,47.6
model,0.7683550761265568,0.918736235300978,2.7671304398471235,6.371856671787827,7.785367335785049,0.9433096242917722,0.8477678274386399,0.819270696733746,0.9484907414569645,0.2373369925689801,0.8139545742691991,5.074067881748888,3.7649348428732368,2.083112534524307,5.084916547818749,0.27907015666467105,0.31668067545288964,100.0,100.0,100.0,1.0,7.38728687110779e-08,arch_mish_L3_h512,architecture,mish,3,512,0.15,0.001,0.0001,0.0,all,2109,1611782,37,0.058578,57.3
model,0.7599002910798975,0.918361329771708,2.708579100914441,6.398060487408283,7.734479181016725,0.9441904414626681,0.8452516780398174,0.8115152903022391,0.9495360985223529,0.19614728546037485,0.8127609526918915,4.98361655375176,3.658972734885508,1.9784012540867628,5.021755333277412,0.2827310572052332,0.32599767227997456,100.0,100.0,100.0,1.0,7.450873340530961e-08,arch_mish_L4_h128,architecture,mish,4,128,0.15,0.001,0.0001,0.0,all,2109,321414,70,0.059937,54.1
