model,class,coverage_pct,mean_width_pp,median_width_pp
ridge,tree_cover,83.04918032786885,28.57814056905863,23.276074767916217
ridge,grassland,78.29508196721311,6.594089802013468,5.95304787425783
ridge,cropland,71.04918032786885,0.0026391715244944384,0.0021853407844927043
ridge,built_up,76.68852459016394,24.29668013864842,19.605762905939738
ridge,bare_sparse,79.1639344262295,0.0005336834662652005,0.0004798295253095635
ridge,water,78.49180327868852,0.000603307593665131,0.0005410936382688321
elasticnet,tree_cover,83.81967213114754,30.061309998331144,24.895082653071153
elasticnet,grassland,77.26229508196721,6.533567964643091,5.8184396042618225
elasticnet,cropland,70.54098360655738,0.005494778998779898,0.0045705034462611835
elasticnet,built_up,76.21311475409837,24.68057550451889,20.158426467781975
elasticnet,bare_sparse,75.1311475409836,0.0008685706840792427,0.000775820373364757
elasticnet,water,72.62295081967213,0.0009258780955252206,0.0008406283342053762
extratrees,tree_cover,74.91803278688525,13.402835834776775,12.054340940422234
extratrees,grassland,66.95081967213115,1.2151721746520507,1.003402511692637
extratrees,cropland,65.26229508196721,0.0005885847823667358,0.0005490396298303355
extratrees,built_up,67.8688524590164,10.68845232873376,9.678972465115828
extratrees,bare_sparse,66.70491803278689,0.00030181256363037397,0.0002962804507816734
extratrees,water,65.77049180327869,0.00030992517850126706,0.00030755068263341585
rf,tree_cover,80.39344262295081,15.754299572816565,14.014626851384335
rf,grassland,77.18032786885246,5.6751393172614994,4.882356885458328
rf,cropland,69.26229508196722,0.0007742985257586345,0.0006902381970009512
rf,built_up,71.01639344262296,11.646308439539958,10.731611880506298
rf,bare_sparse,69.14754098360656,0.00032557639375480844,0.00031612580728415706
rf,water,68.57377049180327,0.0003288561516141519,0.00032211228828786634
catboost,tree_cover,79.60655737704919,20.293742527839044,17.09796757811384
catboost,grassland,77.62295081967213,5.713077596297833,4.993563453515819
catboost,cropland,68.44262295081968,0.0006819265210608196,0.0006231005428866738
catboost,built_up,73.19672131147541,16.560024182573844,13.83394560486336
catboost,bare_sparse,71.95081967213115,0.00027902931739241706,0.00027529698911317197
catboost,water,70.31147540983606,0.000282761102171282,0.0002781684261412054
mlp,tree_cover,78.52459016393442,14.470484938498485,17.73625599931141
mlp,grassland,76.44262295081967,5.931379436427032,5.067892972392174
mlp,cropland,70.36065573770492,0.17449169192651146,0.14721615333033505
mlp,built_up,74.44262295081967,12.479207195554741,15.085748142905908
mlp,bare_sparse,76.11475409836066,0.039920288007377194,0.03517617656287161
mlp,water,79.63934426229508,0.03252481781492619,0.030155763759371155
