name,r2_mean,r2_std,mae_mean,epochs_mean,folds,arch,arch_family
bi_glcm_morph_v2_plain_silu_L5_d512_bn,0.7497171759605408,0.0703309520079922,2.529760617762804,673.2,5,plain,v5_champion
bi_glcm_morph_v2_residual_silu_L20_d256_bn_lr0.0005,0.739458191394806,0.0659207767291524,2.6273308508098125,731.8,5,residual,deep
bi_glcm_morph_v2_residual_silu_L10_d256_nonorm,0.7385572671890259,0.04618185023944696,2.564918100833893,606.2,5,residual,v5_champion
bi_glcm_morph_v2_residual_silu_L12_d256_bn,0.7103217720985413,0.05361275003374972,2.5350256077945232,673.4,5,residual,deep
bi_glcm_morph_v2_plain_silu_L5_d2048_bn_lr0.0005,0.7022974252700805,0.16877028954426368,2.519621104001999,640.6,5,plain,wide
bi_glcm_morph_v2_residual_silu_L10_d1024_bn_lr0.0005,0.6992198467254639,0.10125499172645688,2.6293429732322693,712.4,5,residual,deep+wide
bi_glcm_morph_v2_residual_silu_L11_d1024_bn_lr0.0005,0.6885237336158753,0.1125917415893694,2.603881787508726,711.8,5,residual,deep+wide
bi_glcm_morph_v2_plain_silu_L5_d1024_bn,0.6338602587580681,0.3144852851599172,2.5636355206370354,682.8,5,plain,wide
bi_glcm_morph_v2_residual_silu_L12_d1024_bn_lr0.0005,0.5803710579872131,0.263227125935122,2.6609289832413197,744.6,5,residual,deep+wide
bi_glcm_morph_v2_residual_silu_L16_d256_bn_lr0.0005,0.5737343311309815,0.3107688451452647,2.5723892636597157,719.2,5,residual,deep
