fold,base,novel_added,group,n_base_features,n_novel_features,n_features,r2,mae,time
2,VegIdx+RedEdge+TC,NDTI+IRECI,VegIdx+RedEdge+TC + NDTI+IRECI,348,60,408,0.6693751500290709,1.9330810787329473,54.37585163116455
2,VegIdx+RedEdge+TC,NDTI+CRI1,VegIdx+RedEdge+TC + NDTI+CRI1,348,60,408,0.7006097406955192,1.9185171000187813,54.12126350402832
2,VegIdx+RedEdge+TC,IRECI+CRI1,VegIdx+RedEdge+TC + IRECI+CRI1,348,60,408,0.6495192544639911,1.972434537756285,55.32956027984619
2,VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,348,90,438,0.6990460411341125,1.9259093478729905,55.825738191604614
2,GLCM+Morph+VegIdx+RedEdge+TC,none,GLCM+Morph+VegIdx+RedEdge+TC (base),633,0,633,0.5468060801285605,2.069289280555715,72.11086511611938
2,GLCM+Morph+VegIdx+RedEdge+TC,NDTI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI,633,30,663,0.6180284866204301,2.011130089283662,70.97551441192627
2,GLCM+Morph+VegIdx+RedEdge+TC,IRECI,GLCM+Morph+VegIdx+RedEdge+TC + IRECI,633,30,663,0.5408175843668473,2.06734520244428,71.65246844291687
2,GLCM+Morph+VegIdx+RedEdge+TC,CRI1,GLCM+Morph+VegIdx+RedEdge+TC + CRI1,633,30,663,0.5805745148004025,2.0574075410098907,68.75883150100708
2,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI,633,60,693,0.6192185856480804,2.018022043207729,75.20151019096375
2,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+CRI1,633,60,693,0.6342881167934473,2.006304790758464,72.00665664672852
2,GLCM+Morph+VegIdx+RedEdge+TC,IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + IRECI+CRI1,633,60,693,0.580884140323699,2.0534596577292126,74.04730224609375
2,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,633,90,723,0.6326361918610344,2.009806442073062,76.91651892662048
3,VegIdx+RedEdge+TC,none,VegIdx+RedEdge+TC (base),348,0,348,0.6710421135148504,5.152323855385128,46.00201487541199
3,VegIdx+RedEdge+TC,NDTI,VegIdx+RedEdge+TC + NDTI,348,30,378,0.6801324702723041,4.960861501267046,45.982882499694824
3,VegIdx+RedEdge+TC,IRECI,VegIdx+RedEdge+TC + IRECI,348,30,378,0.6844105688922578,5.129708273487946,44.07706093788147
3,VegIdx+RedEdge+TC,CRI1,VegIdx+RedEdge+TC + CRI1,348,30,378,0.6988332512117214,4.970631552461125,47.5145103931427
3,VegIdx+RedEdge+TC,NDTI+IRECI,VegIdx+RedEdge+TC + NDTI+IRECI,348,60,408,0.6984200218188095,4.947021428142525,44.310343742370605
3,VegIdx+RedEdge+TC,NDTI+CRI1,VegIdx+RedEdge+TC + NDTI+CRI1,348,60,408,0.7096900473728214,4.84632142429949,49.32739758491516
3,VegIdx+RedEdge+TC,IRECI+CRI1,VegIdx+RedEdge+TC + IRECI+CRI1,348,60,408,0.6932527081373153,4.947696447177513,50.259034395217896
3,VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,348,90,438,0.7077090551467321,4.801547027837593,52.10036897659302
3,GLCM+Morph+VegIdx+RedEdge+TC,none,GLCM+Morph+VegIdx+RedEdge+TC (base),633,0,633,0.6536853709763156,5.1083414015730355,66.30329012870789
3,GLCM+Morph+VegIdx+RedEdge+TC,NDTI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI,633,30,663,0.6677311506405984,5.018886855554267,65.9225401878357
3,GLCM+Morph+VegIdx+RedEdge+TC,IRECI,GLCM+Morph+VegIdx+RedEdge+TC + IRECI,633,30,663,0.6740256944413416,5.114973097294094,61.65116739273071
3,GLCM+Morph+VegIdx+RedEdge+TC,CRI1,GLCM+Morph+VegIdx+RedEdge+TC + CRI1,633,30,663,0.6813296647231204,5.052975868386416,65.66239094734192
3,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI,633,60,693,0.6723453852006451,5.018125173004162,67.8927948474884
3,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+CRI1,633,60,693,0.6758494819742299,4.924630650053094,69.14044380187988
3,GLCM+Morph+VegIdx+RedEdge+TC,IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + IRECI+CRI1,633,60,693,0.6770539025167003,5.048666016384568,68.82064723968506
3,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,633,90,723,0.6938419885260093,4.9620889152736,70.05583596229553
4,VegIdx+RedEdge+TC,none,VegIdx+RedEdge+TC (base),348,0,348,0.6539051699959,1.4184193349462795,47.316575050354004
4,VegIdx+RedEdge+TC,NDTI,VegIdx+RedEdge+TC + NDTI,348,30,378,0.6793376151745735,1.3760054187890232,52.54130029678345
4,VegIdx+RedEdge+TC,IRECI,VegIdx+RedEdge+TC + IRECI,348,30,378,0.6562816550660779,1.4061125582263176,49.037333250045776
4,VegIdx+RedEdge+TC,CRI1,VegIdx+RedEdge+TC + CRI1,348,30,378,0.6778524411032057,1.4142144697834105,50.142009258270264
4,VegIdx+RedEdge+TC,NDTI+IRECI,VegIdx+RedEdge+TC + NDTI+IRECI,348,60,408,0.6893081756399551,1.3730356213727635,52.432228565216064
4,VegIdx+RedEdge+TC,NDTI+CRI1,VegIdx+RedEdge+TC + NDTI+CRI1,348,60,408,0.7171229803944846,1.3827464497215036,50.63649225234985
4,VegIdx+RedEdge+TC,IRECI+CRI1,VegIdx+RedEdge+TC + IRECI+CRI1,348,60,408,0.6831394229403253,1.414772278844654,51.861106395721436
4,VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,348,90,438,0.7253198089701174,1.3744625540219817,53.01903748512268
4,GLCM+Morph+VegIdx+RedEdge+TC,none,GLCM+Morph+VegIdx+RedEdge+TC (base),633,0,633,0.563338397219156,1.4568174486264824,66.64766693115234
4,GLCM+Morph+VegIdx+RedEdge+TC,NDTI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI,633,30,663,0.5984793889212483,1.421560904202255,68.81049180030823
4,GLCM+Morph+VegIdx+RedEdge+TC,IRECI,GLCM+Morph+VegIdx+RedEdge+TC + IRECI,633,30,663,0.5620473021093662,1.4559929639675526,70.67833733558655
4,GLCM+Morph+VegIdx+RedEdge+TC,CRI1,GLCM+Morph+VegIdx+RedEdge+TC + CRI1,633,30,663,0.6003404137342248,1.4725255773896466,70.47343492507935
4,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI,633,60,693,0.6027454382729017,1.4166121358023935,72.03563594818115
4,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+CRI1,633,60,693,0.6442758839125527,1.4416768662765442,70.43817377090454
4,GLCM+Morph+VegIdx+RedEdge+TC,IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + IRECI+CRI1,633,60,693,0.60595807646565,1.476986627988668,70.96856212615967
4,GLCM+Morph+VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,GLCM+Morph+VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,633,90,723,0.6405101424751778,1.4408058469235727,76.03422570228577
