version,model_type,config,feature_set,r2_mean,r2_std,mae_mean,n_folds,n_features
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC+NDTI+CRI1,0.7338278582813758,0.050710397601769666,2.995139514353103,5,408
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC+NDTI+CRI1,0.7338278582813758,0.050710397601769666,2.995139514353103,5,408
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+CRI1,0.7336455834845481,0.03998500260833969,3.025223858772214,5,408
LGBM,LightGBM,reg1.0,VegIdx+RedEdge+TC+NDTI+CRI1,0.7334667279466751,0.05171351849018732,2.9942502972566083,5,408
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7331207313706475,0.053429338344255894,3.0025487427455415,5,438
LGBM,LightGBM,cs1.0,VegIdx+RedEdge+TC+NDTI+CRI1,0.7323596883216565,0.04974792904975031,3.0071266837734756,5,408
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7323596316435437,0.03915930650014398,3.025483567876551,5,438
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7322454528602422,0.05096658384836068,3.0497239501585427,5,438
LGBM,LightGBM,depth12,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.731965682206226,0.053625453470101433,2.982847968164285,5,438
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7301172774757503,0.049597611846157776,3.0343780329185184,5,438
LGBM,LightGBM,lr0.1,VegIdx+RedEdge+TC+NDTI+CRI1,0.730021753025962,0.05388883784381845,3.023821771193091,5,408
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+CRI1,0.7297390083849461,0.03562927229074439,3.057734067228353,5,408
LGBM,LightGBM,n200,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7293960495001531,0.04968066856432339,3.0416859361660036,5,438
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7290686886173334,0.033871179594777985,3.060034687219502,5,438
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7285895981652467,0.05088439293804005,3.0904894635697473,5,438
LGBM,LightGBM,leaves15,VegIdx+RedEdge+TC+NDTI+CRI1,0.728577159035827,0.05160457295562306,3.0385855016603385,5,408
LGBM,LightGBM,n200,VegIdx+RedEdge+TC+NDTI+CRI1,0.7274291569306441,0.05006141345309702,3.0516125549623063,5,408
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7236548026280332,0.04832387879126143,3.2154276214223287,5,438
LGBM,LightGBM,depth4,VegIdx+RedEdge+TC+NDTI+CRI1,0.7234417101650886,0.05403329752124959,3.0942028237177452,5,408
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC+NDTI+CRI1,0.7220721566284055,0.053400390916478274,3.155979706566975,5,408
LGBM,LightGBM,lr0.01,VegIdx+RedEdge+TC+NDTI+CRI1,0.7216194594420214,0.049635565101306116,3.2222548194126963,5,408
LGBM,LightGBM,lr0.2,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.720477359280343,0.0562551633177413,3.168942686762791,5,438
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC,0.7170710707496643,0.06014914307109436,3.0342673313840756,5,348
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC,0.7121324561532931,0.05379016394494285,3.021913847620067,5,348
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC,0.7078687220092094,0.06496611449795048,3.101270042748046,5,348
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC,0.7074800963687282,0.06468651129132053,3.0828680719345023,5,348
LGBM,LightGBM,mcs50,VegIdx+RedEdge+TC,0.7071499303398107,0.05684610564321042,3.117072464468402,5,348
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC,0.7057554660059769,0.0611071652149742,3.0856176095177776,5,348
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC,0.7057387064201179,0.06492474675113616,3.0686213792241532,5,348
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC,0.7056650815400137,0.06630612220893954,3.0795884753140412,5,348
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC,0.7027658368300027,0.06501931003083392,3.0956485084109526,5,348
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC,0.7020752229411689,0.06604829227311754,3.0985203326146924,5,348
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC,0.7008634071642644,0.06712004117798355,3.0964817602276162,5,348
LGBM,LightGBM,mcs100,VegIdx+RedEdge+TC,0.7008083706954906,0.05586088422915978,3.148786313301827,5,348
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC,0.6994704634455288,0.0704279055994638,3.0876403322191766,5,348
LGBM,LightGBM,leaves255,VegIdx+RedEdge+TC,0.699161129401462,0.06712773728875226,3.104104895944568,5,348
LGBM,LightGBM,leaves127,VegIdx+RedEdge+TC,0.699161129401462,0.06712773728875226,3.104104895944568,5,348
