name,fold,n_features,arch,r2_uniform,mae_mean_pp,best_val_loss,n_epochs,elapsed_s,n_train,n_test
plain_silu_L5_d2048_bn,0,1344,plain_L5_d2048,0.8087160587310791,2.673792652785778,0.40854737162590027,1396,202.17768573760986,16530,6100
plain_silu_L7_d1024_bn,0,1344,plain_L7_d1024,0.7705419659614563,2.7246737852692604,0.4098159968852997,687,86.82599329948425,16530,6100
plain_silu_L7_d1536_bn,0,1344,plain_L7_d1536,0.8303897976875305,2.6468338444828987,0.40990349650382996,900,129.2678997516632,16530,6100
residual_silu_L10_d512_bn_lr5e-4,0,1344,residual_L10_d512,0.8022410869598389,2.857140451669693,0.41377395391464233,640,225.92526197433472,16530,6100
residual_silu_L20_d256_bn_lr5e-4,0,1344,residual_L20_d256,0.777290403842926,2.8537942096590996,0.41265127062797546,663,365.8817012310028,16530,6100
residual_silu_L20_d512_bn_lr5e-4,0,1344,residual_L20_d512,0.7817757725715637,2.8808971866965294,0.41414764523506165,673,313.1387093067169,16530,6100
plain_silu_L5_d2048_bn,1,1344,plain_L5_d2048,0.726961076259613,3.725278005003929,0.40557682514190674,548,90.40177369117737,18731,6000
plain_silu_L7_d1024_bn,1,1344,plain_L7_d1024,0.7350944876670837,3.7637706845998764,0.40324467420578003,528,77.48432683944702,18731,6000
plain_silu_L7_d1536_bn,1,1344,plain_L7_d1536,0.744213879108429,3.7534624338150024,0.4038374722003937,591,98.17224192619324,18731,6000
residual_silu_L10_d512_bn_lr5e-4,1,1344,residual_L10_d512,0.7398350834846497,3.7903007119894028,0.4055514931678772,592,165.88434028625488,18731,6000
residual_silu_L20_d256_bn_lr5e-4,1,1344,residual_L20_d256,0.7589852213859558,3.800792619585991,0.4029436409473419,588,291.6775162220001,18731,6000
residual_silu_L20_d512_bn_lr5e-4,1,1344,residual_L20_d512,0.7233703136444092,3.8634035736322403,0.4047470688819885,570,287.17536544799805,18731,6000
plain_silu_L5_d2048_bn,2,1344,plain_L5_d2048,0.7427842617034912,1.7884379252791405,0.4574333131313324,542,88.45056891441345,18700,5866
plain_silu_L7_d1024_bn,2,1344,plain_L7_d1024,0.7619598507881165,1.750808022916317,0.45531171560287476,547,81.62912821769714,18700,5866
plain_silu_L7_d1536_bn,2,1344,plain_L7_d1536,0.7456628680229187,1.711040921509266,0.4568464457988739,551,88.16817712783813,18700,5866
residual_silu_L10_d512_bn_lr5e-4,2,1344,residual_L10_d512,0.7249727249145508,1.7937777563929558,0.4571458101272583,561,154.86473321914673,18700,5866
residual_silu_L20_d256_bn_lr5e-4,2,1344,residual_L20_d256,0.7198538780212402,1.736021600663662,0.45729774236679077,585,291.6093864440918,18700,5866
residual_silu_L20_d512_bn_lr5e-4,2,1344,residual_L20_d512,0.7027400135993958,1.8388250842690468,0.4568035304546356,548,274.55811524391174,18700,5866
plain_silu_L5_d2048_bn,3,1344,plain_L5_d2048,0.6811061501502991,3.681425377726555,0.36953675746917725,687,107.28143835067749,18655,5900
plain_silu_L7_d1024_bn,3,1344,plain_L7_d1024,0.758915901184082,3.575720638036728,0.3695954382419586,585,86.68944454193115,18655,5900
plain_silu_L7_d1536_bn,3,1344,plain_L7_d1536,0.6418561935424805,3.5731475800275803,0.3705335855484009,724,116.78712844848633,18655,5900
residual_silu_L10_d512_bn_lr5e-4,3,1344,residual_L10_d512,0.6920933723449707,4.015956446528435,0.3717955946922302,618,184.4425666332245,18655,5900
residual_silu_L20_d256_bn_lr5e-4,3,1344,residual_L20_d256,0.6852583885192871,3.8623344153165817,0.37217217683792114,659,479.40215945243835,18655,5900
residual_silu_L20_d512_bn_lr5e-4,3,1344,residual_L20_d512,0.7002503275871277,4.159734770655632,0.37245088815689087,620,369.3057358264923,18655,5900
plain_silu_L5_d2048_bn,4,1344,plain_L5_d2048,0.7962376475334167,1.2325047515332699,0.5046494603157043,645,109.40107345581055,16326,6080
plain_silu_L7_d1024_bn,4,1344,plain_L7_d1024,0.7944263815879822,1.203643810003996,0.5039990544319153,644,92.51844477653503,16326,6080
plain_silu_L7_d1536_bn,4,1344,plain_L7_d1536,0.8103477358818054,1.1708649806678295,0.5020155906677246,650,89.59029078483582,16326,6080
residual_silu_L10_d512_bn_lr5e-4,4,1344,residual_L10_d512,0.799142062664032,1.2924189679324627,0.5087752342224121,662,142.7602608203888,16326,6080
residual_silu_L20_d256_bn_lr5e-4,4,1344,residual_L20_d256,0.7274363040924072,1.2323877774178982,0.5095043778419495,683,258.3119797706604,16326,6080
residual_silu_L20_d512_bn_lr5e-4,4,1344,residual_L20_d512,0.7226826548576355,1.2510273605585098,0.5104482769966125,671,242.56377840042114,16326,6080
