fold,group,n_features,n_indices,r2,mae,time
0,EVI2,30,1,0.6289234174176312,4.3488561988359455,8.085715770721436
0,MNDWI,30,1,0.5111820059909576,7.29896264628046,8.691721200942993
0,GNDVI,30,1,0.6516016290186771,4.3352730284702545,7.908043622970581
0,NDTI,30,1,0.48775127208223273,5.4835369605104205,7.083932161331177
0,IRECI,30,1,0.569474294836329,4.617018204435791,6.714903116226196
0,CRI1,30,1,0.5589404665635302,6.753556334441916,7.222300052642822
0,EVI2+MNDWI,60,2,0.6652844559493788,4.02373469095162,9.909023523330688
0,EVI2+GNDVI,60,2,0.6780701651166751,3.816425414914726,8.454537630081177
0,EVI2+NDTI,60,2,0.6689993387085978,4.151620021689186,8.90423035621643
0,EVI2+IRECI,60,2,0.6549297567767361,4.019191089608495,8.632678747177124
0,EVI2+CRI1,60,2,0.691993868960321,3.9096232788502014,8.435604572296143
0,MNDWI+GNDVI,60,2,0.6778079628052742,4.05423970580846,8.525912761688232
0,MNDWI+NDTI,60,2,0.6484625072287492,4.446013284904018,8.757761478424072
0,MNDWI+IRECI,60,2,0.64139679950121,4.140972145584514,8.465370178222656
0,MNDWI+CRI1,60,2,0.6148903616734104,6.160692894285851,8.710227489471436
0,GNDVI+NDTI,60,2,0.6788052179756328,4.083371508496379,8.230662822723389
0,GNDVI+IRECI,60,2,0.6623379616096118,3.9872943925726005,9.163442611694336
0,GNDVI+CRI1,60,2,0.687482362174042,4.005981544135926,8.484955072402954
0,NDTI+IRECI,60,2,0.6303793549704385,4.314615250263352,9.05994701385498
0,NDTI+CRI1,60,2,0.6792366766943818,4.263115198316366,8.61819839477539
0,IRECI+CRI1,60,2,0.6863753779687521,4.000574418060039,8.939627885818481
0,EVI2+MNDWI+GNDVI,90,3,0.7078467354199073,3.5356646237450398,10.727978706359863
0,EVI2+MNDWI+NDTI,90,3,0.6804439598634567,3.85403840128308,14.132699251174927
0,EVI2+MNDWI+IRECI,90,3,0.6691652274514865,3.8373441519920513,13.063685655593872
0,EVI2+MNDWI+CRI1,90,3,0.7094706881817551,3.7135458167661195,12.664443254470825
0,EVI2+GNDVI+NDTI,90,3,0.6972140364250321,3.685893301165999,11.632924556732178
0,EVI2+GNDVI+IRECI,90,3,0.6804471963485561,3.7559895635778826,11.916025161743164
0,EVI2+GNDVI+CRI1,90,3,0.7078444667033975,3.79581664325228,11.859371185302734
0,EVI2+NDTI+IRECI,90,3,0.6798671310206302,3.9085831448765602,13.570412635803223
0,EVI2+NDTI+CRI1,90,3,0.6974951524799273,3.7755938556789848,12.883440256118774
0,EVI2+IRECI+CRI1,90,3,0.6992152346336001,3.790965032137276,12.392388343811035
0,MNDWI+GNDVI+NDTI,90,3,0.6968371694967668,3.873855624864416,12.37580919265747
0,MNDWI+GNDVI+IRECI,90,3,0.6919172261860679,3.694072875228748,11.907107830047607
0,MNDWI+GNDVI+CRI1,90,3,0.7086168651077394,3.7639841944448214,13.45555329322815
0,MNDWI+NDTI+IRECI,90,3,0.6700500624170164,3.928046461003513,12.891623497009277
0,MNDWI+NDTI+CRI1,90,3,0.7041030168246771,3.990093468380225,12.593827962875366
0,MNDWI+IRECI+CRI1,90,3,0.7107236149295342,3.735146573749421,12.477858304977417
0,GNDVI+NDTI+IRECI,90,3,0.6889596791001543,3.809520866292764,12.304742813110352
0,GNDVI+NDTI+CRI1,90,3,0.7106533992616749,3.8073629431598524,12.057103157043457
0,GNDVI+IRECI+CRI1,90,3,0.6959098689197235,3.914756294543647,12.096823692321777
0,NDTI+IRECI+CRI1,90,3,0.7017603806783163,3.7856798356329193,12.688205480575562
0,EVI2+MNDWI+GNDVI+NDTI,120,4,0.7187660395400095,3.455414918506955,14.584590673446655
0,EVI2+MNDWI+GNDVI+IRECI,120,4,0.701847152931728,3.5203982580696507,13.340452909469604
0,EVI2+MNDWI+GNDVI+CRI1,120,4,0.7247504550768379,3.5949455867567455,12.689503908157349
0,EVI2+MNDWI+NDTI+IRECI,120,4,0.6857649732156378,3.7270315183785327,12.869953155517578
0,EVI2+MNDWI+NDTI+CRI1,120,4,0.7169020010296133,3.577938059241026,12.456130027770996
0,EVI2+MNDWI+IRECI+CRI1,120,4,0.7138525190360783,3.6305475160368106,12.987181901931763
0,EVI2+GNDVI+NDTI+IRECI,120,4,0.7019368563762315,3.631947456875056,12.575584173202515
0,EVI2+GNDVI+NDTI+CRI1,120,4,0.7152686770338369,3.6742990124054145,13.865332126617432
0,EVI2+GNDVI+IRECI+CRI1,120,4,0.7092086340154854,3.745105608164324,15.121670961380005
0,EVI2+NDTI+IRECI+CRI1,120,4,0.7065594757065371,3.6771703792556636,17.085484504699707
0,MNDWI+GNDVI+NDTI+IRECI,120,4,0.7091253383664556,3.572026630195658,16.882348775863647
0,MNDWI+GNDVI+NDTI+CRI1,120,4,0.721557386035173,3.625597742412115,16.714831590652466
0,MNDWI+GNDVI+IRECI+CRI1,120,4,0.7153360298490944,3.6748434625381234,16.150009155273438
0,MNDWI+NDTI+IRECI+CRI1,120,4,0.7209798443805729,3.580119106814871,14.25353455543518
0,GNDVI+NDTI+IRECI+CRI1,120,4,0.7161300847853843,3.715877967898863,14.054104328155518
0,EVI2+MNDWI+GNDVI+NDTI+IRECI,150,5,0.7155392863811074,3.438355885112255,16.973994970321655
0,EVI2+MNDWI+GNDVI+NDTI+CRI1,150,5,0.7323283196115843,3.497715137728303,18.621089458465576
0,EVI2+MNDWI+GNDVI+IRECI+CRI1,150,5,0.7226199349758504,3.5817612739072664,18.720800399780273
