name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
full_no_deltas_plain_mish_L5_d256,0.7280283451080323,0.05413048439834181,2.682284712791443,1.1959109575134763,7.5678729249360375,0.8857476591071622,5,261.6,32.339999999999996,1428,633094,full_no_deltas,plain,mish,layernorm
bands_indices_hog_plain_silu_L5_d256_bn,0.7278804898262023,0.06959623121494615,2.6256206072866917,1.179464461328175,7.950293475440931,0.539695599201845,5,294.6,38.480000000000004,1002,524038,bands_indices_hog,plain,silu,batchnorm
bands_indices_hog_plain_mish_L5_d256_nonorm,0.7275568246841431,0.10634956690685984,2.6749669946730137,1.2164302749855742,7.86256323040993,0.7437226278467244,5,254.8,25.860000000000003,1002,521478,bands_indices_hog,plain,mish,none
bands_indices_hog_residual_geglu_L6_d128_bn,0.7274011373519897,0.028171024957614647,2.7324861846864223,1.2281231414599652,8.22046799490207,0.8319643062367833,5,298.0,69.78,1002,724614,bands_indices_hog,residual,geglu,batchnorm
all_full_plain_relu_L5_d256_bn,0.725032377243042,0.0603986092752622,2.750609014183283,1.3084092695732719,7.96566895761882,0.9292479072711476,5,294.2,39.260000000000005,3534,1172230,all_full,plain,relu,batchnorm
bands_indices_glcm_lbp_residual_silu_L6_d512_bn_lr0.0005,0.7207276582717895,0.0793337802615316,2.609342634677887,1.1420313766506618,8.362556458865962,0.5182592934318346,5,300.0,65.86,924,6784518,bands_indices_glcm_lbp,residual,silu,batchnorm
bands_indices_hog_plain_relu_L5_d512_bn,0.7188034772872924,0.08794569334293414,2.7106566913425922,1.2063492165772483,8.377332538478973,0.5030823844364193,5,281.4,36.519999999999996,1002,1572358,bands_indices_hog,plain,relu,batchnorm
all_full_plain_relu_L5_d512_bn,0.7182788014411926,0.06995339422800548,2.7153701335191727,1.3056441421918228,7.8970339363585795,0.8017789847244675,5,290.0,39.2,3534,2868742,all_full,plain,relu,batchnorm
bands_indices_hog_plain_mish_L5_d256_bn,0.7150062382221222,0.12758158497810637,2.599241193383932,1.1637200244155934,7.939753672896347,0.7149466730266757,5,299.8,39.06,1002,524038,bands_indices_hog,plain,mish,batchnorm
all_full_plain_silu_L3_d512_bn,0.7121736764907837,0.05834164792844693,2.782126720994711,1.353576942428336,7.7982522833145085,0.9015799297755498,5,291.2,30.3,3534,2341382,all_full,plain,silu,batchnorm
all_full_plain_geglu_L3_d512_bn,0.7055333495140076,0.04170650140181328,2.9203587025403976,1.4471405052018287,7.787036424307837,1.1878683307349565,5,289.8,32.980000000000004,3534,4676614,all_full,plain,geglu,batchnorm
all_full_residual_geglu_L4_d256_bn,0.7041721820831299,0.0653149718407146,2.873333338648081,1.3693787551907832,8.364563992165733,0.707311042241503,5,299.2,54.86,3534,2487046,all_full,residual,geglu,batchnorm
