model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,epochs,elapsed_s,batch_size,hidden_dim,n_layers,dropout,lr,model_class
softmax_h128_L2_bs512,0.7490251889566765,0.9082770013371476,2.8123614986665215,6.755270282804056,7.391907698223992,0.9375768072687094,0.8341689379339737,0.7658498982039585,0.9437353371457675,0.2125666571099738,0.8002534960776251,5.148339373580279,3.752065805277623,2.1907594478723427,5.18623586723508,0.2699635042867815,0.3268049937470248,100.0,100.0,100.0,1.0,7.434440618681037e-08,46,37.8,512,128,2,0.15,0.001,SoftmaxMLP
softmax_h256_L3_bs512,0.7518726595832046,0.9107266632599487,2.923760375376698,6.662652907227782,7.660978743910721,0.9363754653621049,0.8334692241614698,0.7907571892985457,0.9455119501229139,0.19189498305854258,0.8132271454956053,5.42264333053575,3.9045700870250823,2.160258619484634,5.429869313340712,0.3130816181361468,0.3121392837378615,100.0,100.0,100.0,1.0,7.32076230747225e-08,32,39.3,512,256,3,0.15,0.001,SoftmaxMLP
softmax_h512_L3_bs512,0.7473221517084565,0.9120922224229434,2.836029190985532,6.622416522300635,7.701880575558144,0.9393871329645919,0.830664784861666,0.7807773050678521,0.9491059483741062,0.1663827832333291,0.8176149557491492,5.152104906195924,3.965684427378701,2.186837904165067,5.1244493239030176,0.28073256889934894,0.30636601537113356,100.0,100.0,100.0,1.0,7.294860893125588e-08,29,64.1,512,512,3,0.15,0.001,SoftmaxMLP
