group_dropped,r2,mae_pp,n_zeroed,n_remaining
none,0.8334160639364185,2.492450132250389,0,864
Bands,-1.4397210599288217,16.579800915695213,480,384
Indices,0.6060895890688249,6.4012205106908135,192,672
LBP,0.47369361403843535,7.607937959117844,66,798
